p cnf 93 361
-7 30 44 0
-17 -41 93 0
36 55 68 0
21 68 69 0
12 47 84 0
16 23 -66 0
-4 41 -80 0
11 -41 -51 0
-41 -50 93 0
-11 -44 53 0
25 42 46 0
42 -55 -66 0
-19 37 38 0
-64 75 82 0
-70 85 -87 0
5 32 88 0
7 43 60 0
-23 30 68 0
-15 -32 -65 0
14 36 66 0
48 51 -63 0
-82 88 0
-27 38 45 0
-66 -72 -85 0
-50 55 -83 0
-7 77 81 0
24 51 -64 0
-16 -46 61 0
35 61 -71 0
-9 15 17 0
-17 -46 -74 0
59 -75 90 0
30 -72 -90 0
-11 27 -77 0
-29 -30 -57 0
-2 -50 64 0
16 -59 60 0
41 62 -93 0
-29 -35 -59 0
-17 -53 84 0
21 -46 60 0
-27 -53 -70 0
-16 -29 67 0
-42 77 -79 0
-34 42 -89 0
14 -27 -86 0
-37 -47 -56 0
12 -38 65 0
30 -38 -47 0
-1 -10 37 0
22 25 -36 0
47 69 79 0
-64 -77 -78 0
1 -30 -54 0
-38 -60 -88 0
26 -52 55 0
-21 -25 75 0
33 42 -61 0
-25 -28 -52 0
15 -18 70 0
21 58 73 0
4 -15 -49 0
55 82 -93 0
-5 -42 80 0
-2 -47 -48 0
9 27 -44 0
31 -82 83 0
48 62 -92 0
-11 -40 47 0
72 74 -79 0
79 85 0
17 -24 -64 0
26 -54 -73 0
18 76 -82 0
9 61 67 0
29 44 54 0
-25 68 88 0
-1 65 73 0
-31 49 -62 0
44 -83 92 0
8 9 39 0
5 8 78 0
-12 -73 -91 0
23 -27 63 0
25 29 -39 0
1 29 87 0
-9 18 73 0
41 -73 -79 0
-5 -29 61 0
10 -21 71 0
61 72 -81 0
37 70 -79 0
-42 -57 0
-8 -45 72 0
-45 62 93 0
36 43 -56 0
14 -41 -47 0
20 45 70 0
2 -29 0
-28 56 -64 0
30 65 -68 0
21 -50 -59 0
-42 -57 65 0
8 -76 -79 0
22 84 -91 0
-11 29 36 0
54 -84 0
30 41 -48 0
-4 -88 0
25 65 -93 0
5 -42 -62 0
-18 -47 -71 0
-2 -49 68 0
20 -69 -91 0
-6 -12 -40 0
-5 13 0
3 -32 -74 0
21 -41 87 0
5 46 0
-68 72 -86 0
-20 -33 52 0
44 -53 -56 0
-27 -45 67 0
1 -24 -41 0
-16 -41 77 0
-1 -22 93 0
-22 -58 -85 0
22 -43 -56 0
-7 -28 76 0
-16 34 84 0
-24 -55 92 0
3 -50 65 0
-11 -42 -72 0
7 24 80 0
4 31 -74 0
22 31 -55 0
-4 -22 -61 0
66 -84 87 0
32 60 -74 0
-45 46 93 0
-1 37 87 0
-53 55 -76 0
-23 -29 -46 0
-13 -33 74 0
10 -39 44 0
-7 -31 0
2 67 0
50 64 -81 0
-38 -59 -78 0
9 -48 82 0
11 -20 47 0
-15 -16 30 0
39 -63 -82 0
-28 -34 -66 0
6 -37 -48 0
17 -27 -89 0
-1 25 -80 0
16 32 64 0
-21 46 -49 0
-1 3 13 0
23 -55 64 0
18 26 60 0
22 40 48 0
11 26 46 0
-37 61 72 0
-1 -3 85 0
-44 -67 -84 0
-35 -42 -84 0
-3 6 0
-25 58 89 0
-8 -30 53 0
-14 47 -64 0
-47 79 -93 0
7 -27 -91 0
-3 28 75 0
-42 73 -88 0
-46 -47 -80 0
-47 -61 79 0
14 60 -87 0
47 49 -67 0
-65 -86 92 0
8 32 -79 0
41 70 75 0
7 33 45 0
1 31 -40 0
40 -61 75 0
27 -69 74 0
-24 54 68 0
14 76 -82 0
-1 22 -42 0
-17 21 50 0
-6 56 -71 0
-3 -11 -60 0
3 69 83 0
-40 -55 84 0
-26 -61 -79 0
-28 -62 77 0
-3 15 -89 0
-26 -54 -65 0
37 -78 82 0
19 -53 -87 0
13 -15 -82 0
-28 -66 -73 0
44 -60 62 0
-17 -54 63 0
-38 77 93 0
-37 -48 -86 0
-4 -50 0
-5 -50 71 0
34 58 -66 0
-39 -74 92 0
-48 -70 -92 0
-38 -71 77 0
17 -35 -48 0
2 54 -79 0
21 31 -80 0
-5 27 -34 0
-58 69 70 0
-22 -85 -89 0
-15 53 -58 0
-13 -23 86 0
-68 -81 -87 0
-38 -46 -53 0
8 -48 87 0
43 65 0
-54 66 87 0
27 35 71 0
-42 -51 -90 0
-25 44 -76 0
-39 -59 -89 0
7 13 -71 0
55 66 -78 0
28 -34 -74 0
-23 -68 86 0
2 29 0
19 -26 46 0
-16 -32 81 0
-25 43 87 0
5 25 64 0
63 -79 91 0
3 -54 60 0
2 -13 -57 0
-35 78 -93 0
22 48 -52 0
14 20 74 0
-32 -68 82 0
-60 84 92 0
-43 -62 -83 0
68 -75 93 0
-1 -8 -58 0
21 23 -38 0
15 -39 83 0
-41 -52 85 0
-37 -73 -80 0
-17 37 -52 0
-29 46 79 0
6 -51 89 0
28 55 -87 0
33 -43 82 0
33 56 -72 0
1 -6 -80 0
44 47 79 0
13 -14 -45 0
16 -61 67 0
-26 35 -47 0
-38 53 -83 0
-68 79 -90 0
-32 36 -86 0
16 64 93 0
19 26 -44 0
-7 29 72 0
-41 -72 0
7 -19 51 0
6 7 -28 0
3 -10 67 0
-40 -43 44 0
-17 -34 36 0
3 -60 76 0
26 30 34 0
29 34 37 0
7 29 63 0
-18 22 -69 0
23 -47 -69 0
-50 -60 75 0
-44 59 60 0
16 22 -26 0
20 -34 -62 0
-30 -62 -79 0
-34 56 -61 0
31 50 -79 0
10 17 -27 0
-26 41 -58 0
15 -83 90 0
-31 -77 -88 0
12 23 -43 0
9 81 90 0
21 39 -82 0
-13 66 69 0
-1 22 -80 0
12 -83 -91 0
28 -61 -69 0
-33 38 -93 0
-5 -16 -71 0
