p cnf 245 1019
143 214 0
-90 -84 -38 0
-177 117 133 0
48 -190 -113 0
18 228 -211 0
43 -156 -30 0
64 52 68 0
-48 -205 173 0
192 189 -235 0
47 74 -199 0
-146 -142 124 0
-161 -137 0
12 245 211 0
-217 106 -93 0
-102 112 215 0
157 -134 36 0
114 211 22 0
89 128 134 0
-151 -18 -172 0
24 -81 0
-173 -63 92 0
21 -31 22 0
-85 233 -174 0
-55 153 -193 0
151 100 -241 0
225 44 -232 0
-129 30 182 0
-197 -156 72 0
54 -183 226 0
-162 71 155 0
84 -97 71 0
-221 -53 -108 0
139 90 157 0
176 146 0
-113 4 116 0
-15 -50 92 0
-58 203 -206 0
124 161 -86 0
112 212 182 0
-32 164 -107 0
186 -118 -230 0
83 -53 -149 0
37 79 -90 0
-52 -225 -91 0
132 -113 35 0
-65 225 83 0
-140 -60 -116 0
-108 -232 -208 0
-95 66 -225 0
75 148 -18 0
-139 85 -142 0
-12 -194 -224 0
111 -41 146 0
29 -88 -187 0
-161 -72 -107 0
-97 75 211 0
-158 -63 -212 0
-52 -56 -185 0
76 -157 19 0
218 84 89 0
-206 114 -98 0
-189 -19 -209 0
-55 -208 209 0
-171 236 -5 0
206 225 9 0
-73 -19 139 0
72 134 -19 0
-188 98 139 0
243 -16 45 0
-174 -167 30 0
210 -42 109 0
103 37 -187 0
-54 -14 -84 0
1 -162 -190 0
-95 94 74 0
215 241 86 0
130 202 -90 0
-57 132 173 0
68 -79 -10 0
-163 218 25 0
35 -68 -52 0
171 30 -107 0
174 158 -72 0
-196 -120 227 0
-137 51 -79 0
217 -77 -243 0
174 -123 171 0
219 -66 -186 0
-194 118 -112 0
36 -216 49 0
44 -104 166 0
183 58 -238 0
137 67 194 0
-70 -61 233 0
-179 -26 -36 0
-73 -183 -25 0
109 162 210 0
-231 -164 -124 0
51 66 50 0
-105 -180 -67 0
62 -234 -143 0
-239 -90 41 0
-15 177 -231 0
-127 -162 48 0
-60 -229 0
-243 16 134 0
19 97 -204 0
126 -71 -82 0
-95 90 110 0
-76 -27 -96 0
80 187 50 0
187 -127 -174 0
216 -90 225 0
143 177 238 0
-102 -183 -50 0
-149 226 -159 0
-59 -205 43 0
105 -175 -45 0
-119 54 -91 0
140 155 -217 0
-168 -195 0
-51 -34 -130 0
44 242 0
240 -213 97 0
76 30 12 0
-37 56 -45 0
164 120 -233 0
210 -94 -123 0
-98 177 182 0
-186 -174 241 0
-185 -81 -183 0
-53 -93 83 0
144 -1 -196 0
152 2 -57 0
-194 -6 123 0
175 119 0
178 155 -94 0
-35 229 -242 0
196 -218 193 0
201 174 19 0
-116 125 185 0
235 4 199 0
81 54 22 0
-23 -234 61 0
229 197 216 0
-11 -144 214 0
