p cnf 247 1025
144 -140 215 0
-90 -84 -38 0
-178 117 133 0
48 -191 -113 0
18 230 -212 0
43 -157 -30 0
64 52 68 0
-48 -206 174 0
193 190 -237 0
47 74 -200 0
-147 -143 124 0
-162 218 -137 0
12 247 212 0
-219 106 -93 0
-102 112 216 0
158 -134 36 0
114 212 22 0
89 128 134 0
-152 -18 -173 0
24 -81 -140 0
-174 -63 92 0
21 -31 22 0
-85 235 -175 0
-55 154 -194 0
152 100 -243 0
227 44 -234 0
-129 30 183 0
-198 -157 72 0
54 -184 228 0
-163 71 156 0
84 -97 71 0
-223 -53 -108 0
139 90 158 0
177 147 0
-113 4 116 0
-15 -50 92 0
-58 204 -207 0
124 162 -86 0
112 213 183 0
-32 165 -107 0
187 -118 -232 0
83 -53 -150 0
37 79 -90 0
-52 -227 -91 0
132 -113 35 0
-65 227 83 0
-141 -60 -116 0
-108 -234 -209 0
-95 66 -227 0
75 149 -18 0
-139 85 -143 0
-12 -195 -226 0
111 -41 147 0
29 -88 -188 0
-162 -72 -107 0
-97 75 212 0
-159 -63 -213 0
-52 -56 -186 0
76 -158 19 0
220 84 89 0
-207 114 -98 0
-190 -19 -210 0
-55 -209 210 0
-172 238 -5 0
207 227 9 0
-73 -19 139 0
72 134 -19 0
-189 98 139 0
245 -16 45 0
-175 -168 30 0
211 -42 109 0
103 37 -188 0
-54 -14 -84 0
1 -163 -191 0
-95 94 74 0
216 243 86 0
130 203 -90 0
-57 132 174 0
68 -79 -10 0
-164 220 25 0
35 -68 -52 0
172 30 -107 0
175 159 -72 0
-197 -120 229 0
-137 51 -79 0
219 -77 -245 0
175 -123 172 0
221 -66 -187 0
-195 118 -112 0
36 -217 49 0
44 -104 167 0
184 58 -240 0
137 67 195 0
-70 -61 235 0
-180 -26 -36 0
-73 -184 -25 0
109 163 211 0
-233 -165 -124 0
51 66 50 0
-105 -181 -67 0
62 -236 -144 0
-241 -90 41 0
-15 178 -233 0
-127 -163 48 0
218 -60 -231 0
-245 16 134 0
19 97 -205 0
126 -71 -82 0
-95 90 110 0
-76 -27 -96 0
80 188 50 0
188 -127 -175 0
217 -90 227 0
144 178 240 0
-102 -184 -50 0
-150 228 -160 0
-59 -206 43 0
105 -176 -45 0
-119 54 -91 0
141 156 -219 0
218 -169 -196 0
-51 -34 -130 0
44 244 0
242 -214 97 0
76 30 12 0
-37 56 -45 0
165 120 -235 0
211 -94 -123 0
-98 178 183 0
-187 -175 243 0
-186 -81 -184 0
-53 -93 83 0
145 -1 -197 0
153 2 -57 0
-195 -6 123 0
176 119 0
179 156 -94 0
-35 231 -244 0
197 -220 194 0
202 175 19 0
-116 125 186 0
237 4 200 0
81 54 22 0
-23 -236 61 0
231 198 217 0
-11 -145 215 0
-242 -123 43 0
233 40 -115 0
-95 139 -142 0
-198 94 90 0
-10 108 -17 0
17 53 -27 0
-122 -233 -27 0
144 -90 -38 0
178 197 243 0
-140 127 199 0
63 -124 65 0
78 60 51 0
4 -194 -132 0
-190 -166 -82 0
-30 -82 -81 0
241 -55 64 0
-124 223 61 0
219 -84 59 0
237 68 -212 0
24 36 -235 0
44 12 -34 0
-109 195 -154 0
34 -93 -73 0
137 188 17 0
-9 -36 60 0
189 153 -110 0
-86 -110 80 0
-107 -92 -220 0
-148 -205 -22 0
-39 -176 -99 0
-46 -128 -51 0
-141 -65 -237 0
-6 -84 -37 0
-211 109 -191 0
148 -109 75 0
-144 -38 142 0
76 89 -186 0
10 70 -246 0
-34 -11 -69 0
-122 -145 -2 0
211 -45 -31 0
-229 -70 -68 0
84 -145 200 0
41 -227 12 0
3 81 155 0
244 241 100 0
7 82 164 0
-205 -87 -198 0
181 74 -163 0
-144 74 187 0
92 -108 -122 0
62 139 -211 0
158 -208 -93 0
120 -66 240 0
-230 54 -143 0
210 -143 106 0
-210 -215 -181 0
-59 -140 192 0
72 50 143 0
133 -69 -105 0
-29 202 -54 0
177 -4 -175 0
95 -237 -51 0
118 215 31 0
-67 -166 -185 0
-82 227 -131 0
95 -47 175 0
-212 -166 -207 0
112 -247 157 0
228 -6 -89 0
-37 236 -5 0
-72 -192 -170 0
159 -140 136 0
111 2 -70 0
-129 -34 -247 0
-175 -184 -127 0
95 -221 85 0
-237 -55 153 0
196 38 44 0
13 -190 130 0
151 90 214 0
172 -118 -91 0
219 -200 7 0
-113 -233 -10 0
-26 -150 14 0
109 153 -199 0
141 -168 -225 0
43 125 200 0
-172 85 -29 0
-195 -233 215 0
50 -31 -158 0
-187 44 123 0
111 -157 174 0
84 141 -111 0
67 -10 179 0
-39 2 131 0
151 190 -78 0
77 220 102 0
-30 -120 213 0
87 54 -39 0
120 127 -239 0
39 231 185 0
-63 88 19 0
-237 120 -176 0
232 100 217 0
14 -240 186 0
-2 -37 1 0
233 -216 -98 0
-61 124 63 0
153 64 177 0
181 102 43 0
-136 110 -78 0
149 35 201 0
190 101 212 0
83 246 -108 0
64 -55 -52 0
-146 -66 23 0
-208 105 -108 0
-3 50 4 0
11 -138 -94 0
69 216 -24 0
33 -221 -17 0
-129 158 -80 0
-140 77 236 0
241 -56 184 0
56 245 -58 0
32 -151 107 0
23 217 0
41 225 -121 0
75 -116 -222 0
-100 12 148 0
-45 -171 0
-210 197 225 0
224 93 -38 0
-15 -197 -29 0
140 -62 245 0
-62 -17 -215 0
118 131 -92 0
-156 -41 239 0
-107 -153 64 0
122 37 87 0
-210 -140 -77 0
-74 245 -130 0
64 -2 -236 0
-168 -57 -33 0
9 -68 213 0
-154 150 186 0
232 155 -62 0
64 -137 155 0
-178 113 161 0
140 -108 175 0
151 112 19 0
-155 -82 9 0
138 -245 -32 0
160 -103 -240 0
-205 -115 -63 0
80 114 -242 0
-172 -210 205 0
66 -135 -21 0
-230 -103 87 0
-172 -150 163 0
-147 208 238 0
87 223 39 0
68 188 172 0
-73 -22 -218 0
-208 -169 -67 0
-1 -58 -155 0
67 39 181 0
141 -150 245 0
-181 -65 60 0
-69 184 -227 0
-84 63 -194 0
-198 -120 186 0
-188 -119 -172 0
224 120 -230 0
93 -94 -143 0
-210 66 21 0
-58 -8 -194 0
-18 82 -45 0
108 246 -104 0
-50 -127 -224 0
-151 163 25 0
-1 -131 -91 0
-120 145 66 0
149 197 86 0
136 -3 0
74 189 -120 0
180 116 -79 0
8 184 -106 0
161 6 -145 0
121 149 31 0
-80 -91 -11 0
-146 -123 243 0
185 -155 244 0
-240 -143 104 0
-79 19 -110 0
-222 126 190 0
75 192 -66 0
239 -1 -121 0
-29 126 -78 0
1 -43 213 0
-43 160 -129 0
55 -162 -143 0
246 -207 -237 0
-92 -26 -99 0
116 195 166 0
-85 101 18 0
166 141 -21 0
52 -13 -197 0
14 -225 -220 0
-237 15 -115 0
14 -183 28 0
-138 -70 9 0
149 -185 -38 0
47 242 148 0
187 97 -64 0
230 21 98 0
194 -72 0
-158 10 -143 0
121 -157 -118 0
-71 -117 76 0
-49 -154 -104 0
-148 -43 -106 0
178 89 223 0
198 -160 -244 0
47 -7 -44 0
223 -238 86 0
47 -141 -104 0
110 -167 -57 0
33 -37 -246 0
-47 -119 -82 0
214 -157 -161 0
-68 40 -20 0
-68 172 -157 0
116 -65 183 0
7 188 -216 0
-11 -80 62 0
51 -200 -93 0
-62 193 83 0
119 187 179 0
152 -62 -16 0
25 160 209 0
-140 -137 -48 0
-144 -24 -119 0
94 -116 -130 0
101 -78 -1 0
-247 224 -64 0
56 -205 40 0
-29 90 26 0
-92 -163 138 0
-161 -45 141 0
-66 162 -72 0
32 179 93 0
74 -65 -127 0
123 58 115 0
-80 196 104 0
-69 177 181 0
160 237 90 0
240 -213 -113 0
166 61 -96 0
-43 -103 -138 0
36 -24 -43 0
-51 60 196 0
196 -95 -6 0
210 -123 47 0
-21 -189 -184 0
-111 -203 205 0
114 -32 164 0
102 -121 115 0
-94 -146 194 0
-223 -227 -36 0
93 -5 -158 0
155 25 172 0
-92 190 -220 0
-32 145 56 0
73 -15 -243 0
-65 22 139 0
117 229 -78 0
140 147 -109 0
22 139 60 0
92 191 115 0
224 117 -66 0
-168 210 -121 0
164 145 -77 0
188 33 -79 0
-100 203 -141 0
11 -21 -65 0
216 59 -121 0
18 223 24 0
32 -191 -69 0
-60 45 -134 0
-148 23 201 0
-124 -69 -150 0
-123 175 -183 0
182 -55 130 0
182 -225 -120 0
-4 82 155 0
-50 -172 -78 0
161 -46 -163 0
-38 -128 -242 0
244 -69 136 0
-2 142 -151 0
-232 18 93 0
88 154 168 0
-241 -74 123 0
200 191 157 0
-57 20 162 0
229 -1 -38 0
115 237 -63 0
-229 147 -99 0
150 -62 -222 0
86 226 -240 0
31 -169 -129 0
-233 50 -18 0
-106 -246 113 0
-159 41 -180 0
125 193 -155 0
-12 -101 131 0
96 -181 -141 0
-81 -239 156 0
-66 -109 -89 0
175 -122 -142 0
-47 -6 67 0
-23 245 196 0
-77 -192 73 0
33 -205 -131 0
-71 -131 -4 0
-178 -16 -3 0
-12 -219 146 0
42 -213 204 0
136 232 55 0
-149 -176 142 0
-150 73 128 0
-56 84 -49 0
-215 -87 152 0
22 91 -89 0
-88 -15 123 0
55 -35 245 0
-43 -205 128 0
-52 -152 173 0
-89 69 -55 0
230 -147 50 0
-236 179 63 0
-29 79 -11 0
-241 -79 48 0
206 60 -97 0
-69 71 -106 0
-184 -86 -220 0
168 -116 -110 0
-168 -121 -142 0
145 229 47 0
146 51 -190 0
247 -151 202 0
-245 206 0
-117 -208 -102 0
-20 -113 19 0
149 105 111 0
164 -56 -247 0
-206 162 15 0
38 172 140 0
109 117 -127 0
223 209 11 0
219 -74 106 0
-51 -154 44 0
-134 -159 0
-10 -87 -34 0
39 -135 98 0
156 161 -189 0
45 57 89 0
211 -33 -187 0
40 191 -5 0
211 -122 -53 0
177 83 -157 0
-54 -143 221 0
-194 196 -33 0
51 -112 -159 0
220 -150 118 0
-21 142 -126 0
95 -69 122 0
70 157 -56 0
-71 -95 -241 0
226 -123 85 0
140 169 -193 0
247 195 -31 0
228 -88 -152 0
-164 -13 -46 0
-225 -212 -144 0
-132 232 -193 0
158 87 -52 0
10 -43 226 0
-59 196 15 0
-201 -6 233 0
-112 -81 177 0
-157 -158 94 0
-169 230 89 0
-214 -35 133 0
-44 -48 136 0
29 122 -193 0
168 210 -147 0
204 -243 -208 0
145 -241 -191 0
70 245 30 0
182 41 -33 0
-50 -119 -207 0
67 -151 -232 0
171 -140 -173 0
23 247 138 0
-124 198 54 0
54 -84 -223 0
-2 45 76 0
166 244 -212 0
-235 -134 -140 0
-139 -65 -108 0
51 28 -226 0
198 44 2 0
97 196 -71 0
203 -30 72 0
7 -49 78 0
-10 46 81 0
-191 24 -166 0
20 -147 -144 0
27 164 -217 0
-110 -21 -175 0
241 -145 218 0
197 79 68 0
-66 -44 -19 0
150 161 -144 0
-247 124 179 0
100 -58 215 0
-114 -83 -180 0
54 -17 -2 0
-53 131 52 0
109 -6 188 0
111 34 -64 0
180 -219 -31 0
71 207 -1 0
209 86 115 0
79 -145 125 0
25 -52 -93 0
38 -64 169 0
53 2 36 0
-36 37 -153 0
-24 -128 89 0
210 173 -81 0
-8 54 -28 0
112 -19 71 0
209 195 -4 0
-80 62 78 0
-124 126 146 0
110 66 -199 0
-105 -222 -202 0
50 203 -75 0
205 -86 236 0
128 122 236 0
52 -137 -112 0
-187 -67 -197 0
22 46 -147 0
23 57 -240 0
120 221 -114 0
154 55 -32 0
-242 -247 61 0
135 163 -102 0
-190 37 10 0
174 168 77 0
-182 -183 -133 0
209 -198 191 0
-81 32 4 0
-135 -11 54 0
2 -122 24 0
156 98 -238 0
-236 29 144 0
20 132 -73 0
40 203 152 0
-197 -104 -223 0
29 -92 238 0
-151 79 24 0
118 -141 -48 0
124 -186 -8 0
-239 -190 -36 0
-39 175 51 0
16 -192 187 0
-130 41 -183 0
83 189 112 0
34 33 -217 0
244 -53 -109 0
156 -193 93 0
138 117 58 0
1 -130 65 0
139 8 -138 0
-43 76 -207 0
-54 -32 85 0
-163 20 -187 0
-96 119 160 0
-102 -101 159 0
-9 -26 -161 0
163 2 115 0
-65 12 6 0
-9 -120 16 0
74 69 195 0
-49 -11 -41 0
178 59 206 0
79 169 43 0
-186 92 -163 0
-239 -137 -198 0
-201 -227 211 0
-200 -121 165 0
-189 247 192 0
