p cnf 96 359
2 -83 -91 0
-50 -68 95 0
23 37 -58 0
11 27 -50 0
22 31 36 0
-4 -31 39 0
1 -83 0
-39 -84 -95 0
-34 -48 62 0
15 56 87 0
-72 -75 77 0
-44 -52 55 0
74 -80 90 0
-16 -32 -39 0
37 -67 -69 0
34 -83 86 0
25 56 63 0
7 77 -78 0
-5 -78 -89 0
28 72 -82 0
23 -30 -96 0
8 40 -75 0
29 61 63 0
24 84 -93 0
10 -21 -55 0
39 49 89 0
13 -34 72 0
29 -89 0
31 -50 58 0
1 26 55 0
-26 37 0
-9 54 71 0
-15 -27 -49 0
19 86 -88 0
-15 48 60 0
-6 -21 26 0
-2 -32 36 0
-8 57 -76 0
-60 -96 0
69 77 92 0
-21 -28 -45 0
18 -29 68 0
42 -72 -88 0
-19 37 -93 0
50 -60 0
65 72 -75 0
15 -18 -37 0
57 -64 70 0
-30 -67 -84 0
-5 29 80 0
-20 -31 -71 0
10 23 -95 0
-25 53 -68 0
43 -64 95 0
24 -35 -77 0
30 62 -66 0
1 45 71 0
-31 78 82 0
-27 34 37 0
-17 -67 -84 0
-32 -89 94 0
-10 49 -91 0
-35 -66 68 0
-4 -85 0
-8 -41 47 0
1 -37 42 0
13 51 -93 0
-32 -48 87 0
-44 74 0
11 -21 -68 0
-82 90 91 0
8 -16 -67 0
-13 -77 -95 0
-15 -30 52 0
1 -37 61 0
12 16 -48 0
-4 57 -86 0
2 -16 48 0
-18 20 -85 0
-22 -42 -80 0
19 -78 -81 0
-74 90 94 0
-10 28 -77 0
64 89 0
-7 68 -89 0
9 -13 89 0
-12 22 -76 0
52 64 -70 0
44 78 -94 0
-7 12 -69 0
6 21 -29 0
36 39 71 0
-1 -28 -43 0
54 -65 78 0
-26 51 -75 0
26 82 83 0
-32 37 -52 0
-58 -61 -89 0
-46 -72 -90 0
-2 -39 87 0
70 -72 -78 0
31 -46 71 0
77 -80 -82 0
31 44 90 0
-28 -36 67 0
-23 33 45 0
58 -72 0
-30 -58 0
30 69 80 0
-42 -47 75 0
16 -45 -89 0
30 38 -85 0
-5 47 66 0
-41 -75 -94 0
3 59 -88 0
-42 -65 0
25 34 68 0
37 -65 67 0
65 -71 0
3 38 90 0
68 84 -95 0
-11 -17 -59 0
-26 36 65 0
-24 27 84 0
31 77 91 0
12 15 -49 0
-28 -37 -88 0
-21 -83 88 0
-8 -51 -59 0
-35 61 94 0
-29 -31 -95 0
27 -49 -72 0
11 -55 -67 0
-20 46 69 0
-77 -78 -86 0
-38 -68 92 0
5 72 -73 0
9 76 87 0
1 26 57 0
56 -77 -80 0
18 20 -80 0
44 -49 75 0
15 31 53 0
-72 -73 78 0
-22 -71 95 0
24 -30 0
-46 -88 -91 0
-4 59 -83 0
-16 19 -52 0
-12 15 -80 0
15 -40 -74 0
36 73 79 0
5 82 -94 0
-32 74 0
-3 -34 91 0
32 -35 95 0
-4 -73 -81 0
-52 -64 79 0
-47 -70 89 0
8 -15 52 0
-57 -61 -65 0
85 86 88 0
-52 -80 -83 0
20 -52 -79 0
44 -59 0
-12 -64 75 0
9 17 -93 0
-4 -25 57 0
18 87 93 0
55 56 76 0
45 48 -70 0
33 -74 83 0
1 54 91 0
-33 37 -63 0
-33 64 79 0
17 20 -28 0
-31 -37 -40 0
-18 -68 -81 0
16 67 -85 0
34 -46 -88 0
5 -16 -34 0
27 40 -54 0
2 -19 -37 0
9 17 76 0
12 59 -87 0
-40 45 -56 0
38 -50 67 0
-45 53 -96 0
15 18 -79 0
-18 19 79 0
8 39 78 0
-21 26 -78 0
-28 -32 -72 0
-4 -49 60 0
20 59 -73 0
-36 54 -94 0
50 -55 0
-7 20 90 0
-47 -51 90 0
-32 45 69 0
-75 76 -82 0
