p cnf 89 316
-67 -77 82 0
-63 -65 -81 0
13 22 67 0
14 32 -38 0
-9 27 83 0
-26 -38 80 0
18 -58 60 0
-33 -39 76 0
22 -27 28 0
2 23 -25 0
11 53 88 0
20 49 0
-6 -44 70 0
-28 46 82 0
-3 9 81 0
8 40 46 0
8 -56 81 0
-23 28 -69 0
19 36 -65 0
-29 71 75 0
-24 41 -45 0
27 71 87 0
55 57 70 0
-19 -59 -77 0
21 27 71 0
24 -39 -52 0
-34 36 0
-36 -66 71 0
-27 -46 78 0
-30 -58 0
-54 -83 -89 0
22 -41 -80 0
2 -28 43 0
-3 38 0
9 -38 73 0
-15 24 -72 0
24 66 -85 0
39 46 61 0
-12 37 -73 0
-34 -46 -86 0
8 -23 32 0
23 -34 64 0
-66 -87 89 0
-4 -78 -86 0
-2 12 19 0
48 72 -86 0
3 52 -81 0
-50 78 87 0
34 -53 -85 0
63 73 -80 0
-32 45 -71 0
-73 86 89 0
47 58 -78 0
-27 43 58 0
24 84 -89 0
-1 -48 -58 0
-12 13 79 0
10 -16 67 0
46 61 65 0
-20 -23 31 0
-26 54 0
-10 74 -75 0
4 13 45 0
17 46 78 0
14 32 69 0
-12 40 47 0
-6 -63 75 0
18 -47 -55 0
-2 -14 27 0
-13 19 -54 0
-12 -17 -28 0
-29 37 -40 0
-15 33 83 0
13 18 -85 0
28 31 -32 0
-40 54 88 0
-24 -32 74 0
-21 36 64 0
-14 -20 -31 0
-35 -61 -85 0
-5 -7 30 0
-3 33 -73 0
-7 26 -37 0
42 62 85 0
43 -57 -62 0
50 -57 80 0
-7 33 -50 0
28 43 -77 0
19 -28 71 0
7 23 -79 0
34 -67 82 0
3 38 -47 0
-42 -63 82 0
-3 -34 -63 0
39 58 69 0
-17 19 -77 0
-8 11 34 0
-23 -58 69 0
4 -55 -85 0
5 36 -80 0
17 -81 -89 0
40 57 68 0
-20 -52 -68 0
23 -58 59 0
-6 53 -88 0
45 60 -84 0
18 67 76 0
44 -54 85 0
5 88 0
-49 -77 85 0
-9 26 -33 0
-20 23 -79 0
8 29 -76 0
-23 45 62 0
23 -53 54 0
38 -57 -64 0
-56 62 -73 0
-15 -16 -83 0
-3 -25 66 0
-43 -61 -74 0
-3 26 45 0
1 14 82 0
10 -65 0
3 -58 -84 0
3 -17 -40 0
-31 61 -71 0
14 17 54 0
-9 -18 -46 0
22 -62 -68 0
10 15 44 0
25 69 -73 0
-7 -21 -31 0
40 61 74 0
15 65 0
9 65 80 0
41 -60 -89 0
13 74 -77 0
31 -71 -76 0
-24 56 -71 0
-43 54 -63 0
-19 50 54 0
30 -32 -74 0
42 60 -83 0
-32 -65 -76 0
-22 43 76 0
22 33 85 0
6 12 -45 0
-8 21 -79 0
19 -37 79 0
62 67 -75 0
39 -46 70 0
-20 56 -65 0
-31 38 -80 0
33 -50 -85 0
-37 -78 -83 0
12 -30 -33 0
-1 -63 -65 0
24 -29 64 0
45 49 78 0
-35 36 -66 0
-9 21 -81 0
-9 -21 37 0
-22 83 -84 0
-59 63 88 0
1 -15 74 0
-21 -34 71 0
-8 25 48 0
-15 -77 -79 0
-23 -30 -53 0
21 23 75 0
27 -45 63 0
-25 -40 78 0
-46 -49 52 0
-36 52 -75 0
-7 -9 -43 0
61 -66 0
7 -20 58 0
-37 -81 82 0
-42 55 -69 0
-79 87 89 0
20 -63 68 0
1 -13 -24 0
37 48 -71 0
-22 53 -60 0
-40 43 56 0
-18 46 85 0
5 32 75 0
-45 -67 -87 0
-3 40 83 0
-16 37 85 0
3 35 52 0
-18 56 85 0
-46 55 -86 0
-6 16 47 0
-3 -31 -47 0
41 57 69 0
-48 -76 0
-7 31 -85 0
20 23 66 0
65 67 -83 0
13 -37 74 0
8 9 14 0
12 -70 74 0
24 57 -80 0
40 -48 -78 0
-64 77 79 0
-29 63 -89 0
-26 -77 0
-7 -65 75 0
11 -30 -33 0
-23 51 56 0
16 -81 88 0
-47 -72 -77 0
7 -19 55 0
-5 -13 -48 0
-44 -68 75 0
45 -53 0
-1 -2 11 0
-1 -29 37 0
-15 -40 80 0
49 -67 77 0
4 -35 -87 0
-20 -23 29 0
44 -76 0
57 60 -79 0
-16 25 81 0
7 52 88 0
-50 -67 68 0
-9 -46 -65 0
-22 -62 87 0
-24 64 89 0
8 -10 -46 0
-6 11 -58 0
-60 -69 83 0
21 38 67 0
-23 41 -84 0
30 -51 -79 0
22 -34 -44 0
33 -38 59 0
24 31 -62 0
7 63 0
-17 -62 -82 0
-41 -74 77 0
17 -36 -75 0
17 -54 67 0
5 60 83 0
-30 -32 0
-56 -78 82 0
20 -26 73 0
37 -59 64 0
-7 65 -71 0
-48 -57 71 0
32 -58 62 0
36 -66 86 0
5 58 -74 0
49 -85 86 0
14 -27 -82 0
-16 -30 -50 0
-30 -41 55 0
1 38 -49 0
-25 35 -69 0
9 18 -71 0
-4 -26 80 0
-10 34 83 0
-28 37 -74 0
-26 70 0
31 -54 64 0
14 -45 53 0
5 7 83 0
8 -12 0
8 71 89 0
7 74 85 0
21 54 67 0
-29 43 71 0
-30 -36 41 0
-39 52 -63 0
-34 46 51 0
23 -70 -79 0
31 -60 -64 0
17 28 43 0
23 -63 0
59 -70 85 0
-24 -67 76 0
-44 46 -66 0
21 50 0
16 66 79 0
-22 42 61 0
34 37 87 0
10 33 -79 0
-3 14 -70 0
13 35 67 0
3 4 -38 0
-11 -51 -53 0
-13 -37 0
33 52 -67 0
-18 29 34 0
65 67 75 0
-7 34 51 0
-19 -23 39 0
-39 -77 80 0
38 -61 89 0
-3 -21 -81 0
-6 42 69 0
33 -45 -68 0
44 45 86 0
-19 54 -58 0
42 52 0
3 -18 -72 0
-50 -59 82 0
-34 -59 -70 0
-25 -64 78 0
17 39 -73 0
3 47 0
-15 67 88 0
21 -55 -73 0
17 35 -85 0
