p cnf 97 371
-7 9 79 0
-20 -91 -94 0
1 -3 35 0
-2 38 -75 0
-8 -20 -59 0
81 93 95 0
45 49 -78 0
60 64 -72 0
47 -65 -78 0
-12 -30 66 0
10 75 87 0
-3 -4 -76 0
-1 11 90 0
-2 -7 -78 0
10 -78 95 0
33 49 -50 0
2 -13 -87 0
44 -48 -61 0
29 74 81 0
-38 46 90 0
39 -44 -60 0
5 89 0
-28 45 -56 0
-62 -68 -83 0
27 -52 -54 0
-14 22 88 0
41 -64 -74 0
-5 45 -81 0
32 67 95 0
-11 22 -55 0
13 55 64 0
31 -41 -66 0
55 -66 67 0
12 18 40 0
1 89 -97 0
-50 57 91 0
-25 -52 -61 0
-17 45 -96 0
-6 41 81 0
10 70 0
-36 -82 83 0
15 -41 84 0
-20 50 78 0
13 -77 97 0
35 -43 -90 0
20 -22 30 0
51 87 96 0
6 67 -97 0
-29 -32 -75 0
-41 63 74 0
14 38 -45 0
27 38 -75 0
-7 -67 77 0
-5 8 -86 0
-6 58 96 0
-40 -48 -55 0
18 -89 -93 0
-30 -36 -59 0
21 -39 -56 0
-31 -53 63 0
-9 -12 24 0
-24 -40 -89 0
74 83 85 0
-1 -6 -53 0
10 15 67 0
-32 -58 -67 0
-1 -63 81 0
1 73 97 0
30 44 49 0
20 44 -96 0
-34 70 96 0
-14 -36 79 0
27 61 -78 0
49 53 63 0
13 -47 74 0
29 52 53 0
-30 83 86 0
17 -25 65 0
-46 53 97 0
7 -45 -87 0
3 -47 0
42 -89 97 0
-12 27 33 0
1 69 -82 0
-76 -83 96 0
-47 -82 -86 0
11 13 -79 0
15 -66 76 0
-11 -66 68 0
20 -70 94 0
31 -32 52 0
1 5 -90 0
-28 53 56 0
-27 43 51 0
-16 55 -90 0
2 17 -81 0
-28 -58 97 0
-54 56 -65 0
28 70 87 0
-21 37 48 0
60 67 96 0
-43 -90 0
52 -55 -94 0
-53 -74 79 0
26 -44 -64 0
16 -68 69 0
48 -71 -88 0
5 47 90 0
51 -68 82 0
-56 63 -79 0
-56 -65 94 0
-18 -27 -80 0
33 70 73 0
12 38 0
-24 49 -82 0
-6 -14 -80 0
6 -88 -97 0
-75 -81 -82 0
-10 -68 85 0
36 40 42 0
-14 -36 46 0
-19 25 -43 0
-51 -59 -95 0
-27 -42 91 0
-20 70 0
-16 -68 -85 0
35 -43 78 0
-3 69 -87 0
4 -21 -36 0
12 -24 41 0
5 31 68 0
36 71 -79 0
-2 62 -93 0
-2 -72 -79 0
17 -76 86 0
30 56 -69 0
-32 -33 -69 0
56 77 -90 0
-13 15 68 0
28 -73 -92 0
-17 -52 85 0
2 -59 70 0
16 -47 -75 0
3 4 65 0
7 27 87 0
-18 36 -60 0
36 37 -48 0
-59 65 95 0
-30 75 0
63 -74 94 0
14 -33 76 0
60 -73 79 0
23 48 75 0
19 60 69 0
-3 -15 -33 0
-21 41 42 0
-10 -23 46 0
-13 39 -90 0
-19 -68 -89 0
-15 39 -62 0
-27 67 87 0
-8 -52 83 0
57 -85 0
-6 70 -87 0
7 39 -55 0
-10 49 77 0
-16 44 -92 0
5 7 93 0
17 -46 61 0
-7 -9 -82 0
-4 63 69 0
9 -63 -69 0
-33 38 39 0
-10 -29 -96 0
-46 84 89 0
1 -7 -61 0
40 -66 -92 0
26 32 88 0
-40 -52 -73 0
8 25 92 0
61 -65 66 0
-4 32 47 0
-7 38 49 0
67 -82 85 0
7 55 69 0
-37 -63 82 0
-22 -38 -48 0
-5 76 -79 0
6 60 68 0
-12 34 -70 0
-52 79 96 0
-36 -38 56 0
2 31 -60 0
-6 33 63 0
32 -35 66 0
-46 -63 80 0
-40 -55 88 0
2 66 -86 0
-20 82 85 0
-1 -27 65 0
-35 -59 61 0
12 21 81 0
-20 25 67 0
-6 33 -96 0
-9 -82 -94 0
32 -41 66 0
15 -75 93 0
30 40 56 0
-57 78 -91 0
-54 -84 96 0
28 67 81 0
-56 -84 90 0
-40 41 -78 0
7 57 96 0
-34 42 97 0
50 -61 -67 0
-51 71 72 0
3 8 11 0
-82 -87 0
-50 -62 -93 0
-11 -60 -83 0
29 56 95 0
22 -26 51 0
-15 84 92 0
11 83 95 0
53 -60 87 0
2 44 61 0
49 -66 -70 0
-20 -26 -91 0
4 25 -65 0
-45 -66 89 0
-52 -87 -88 0
1 64 82 0
-72 85 97 0
-12 -30 -65 0
13 61 -72 0
-14 -70 -96 0
26 27 -93 0
-57 62 -75 0
5 -30 -64 0
-10 73 97 0
7 -9 45 0
25 35 -50 0
19 55 -85 0
-11 13 44 0
-15 -23 -80 0
1 5 -45 0
3 12 55 0
6 -12 -61 0
-19 -27 -33 0
-45 -48 -89 0
-19 -46 91 0
1 18 -65 0
25 32 52 0
10 39 -60 0
-5 -53 61 0
-14 36 90 0
-16 46 -48 0
-4 42 62 0
7 -21 74 0
7 42 -93 0
28 57 0
-36 53 -78 0
-68 -77 81 0
48 -79 -88 0
-3 -46 63 0
-14 59 -60 0
-22 -50 -95 0
-53 61 83 0
40 -56 89 0
77 84 91 0
41 -47 -69 0
-66 71 -74 0
19 39 -70 0
4 13 72 0
13 51 -56 0
-4 29 71 0
-36 51 -72 0
-26 69 -97 0
49 79 -82 0
-7 39 -72 0
-34 -53 -88 0
-16 53 75 0
-93 94 97 0
-15 -55 -56 0
5 -62 95 0
-11 27 -83 0
-24 -30 -78 0
15 -34 48 0
53 -71 73 0
3 -8 -39 0
18 60 86 0
27 81 -92 0
-45 -55 -69 0
16 -26 66 0
-19 35 56 0
-34 50 84 0
-24 38 0
8 33 60 0
16 -24 64 0
-2 -33 72 0
26 28 52 0
21 63 -86 0
55 -58 65 0
