p cnf 92 326
-63 73 75 0
-8 -58 84 0
1 40 -82 0
12 -68 71 0
-9 67 -76 0
14 55 -58 0
-16 32 -43 0
-9 16 41 0
27 47 0
81 -86 -89 0
22 23 83 0
-24 60 -86 0
-75 -90 0
7 -28 -33 0
6 -33 35 0
-35 59 72 0
-20 -51 74 0
56 -75 -77 0
-52 -56 73 0
37 74 -75 0
2 8 71 0
-8 -79 -87 0
-30 -53 69 0
-62 -68 -81 0
8 -36 71 0
-39 -73 -78 0
5 -50 -66 0
-3 20 -26 0
-21 -68 69 0
31 84 86 0
10 49 50 0
16 24 -75 0
-12 -92 0
19 24 -71 0
-35 -37 -91 0
-32 89 0
-33 36 57 0
-62 -81 84 0
-30 65 -88 0
-23 -45 80 0
75 77 87 0
-16 -24 68 0
-21 -34 -80 0
-17 -38 62 0
-25 45 -92 0
45 53 -73 0
13 44 -63 0
21 -39 76 0
-20 64 67 0
13 -41 -75 0
-10 62 -76 0
-13 79 0
-6 7 -56 0
-12 29 49 0
-7 44 89 0
24 58 -84 0
5 51 -66 0
5 -73 -89 0
6 -41 -71 0
61 64 -66 0
6 37 80 0
13 -30 39 0
25 31 48 0
9 -83 -85 0
-4 -10 91 0
3 -13 -14 0
1 52 -86 0
-2 42 68 0
-3 -39 -87 0
3 -48 -54 0
38 -41 88 0
9 54 66 0
16 25 -82 0
9 73 76 0
-9 -11 58 0
-20 -26 -69 0
-33 -72 -85 0
-5 85 87 0
-44 -52 -82 0
64 84 0
-5 -59 -79 0
56 -59 -92 0
-48 -54 -64 0
-12 24 0
24 37 -47 0
6 27 76 0
-12 43 81 0
-38 -42 -76 0
-63 -72 -86 0
-19 55 0
69 -78 -92 0
33 43 86 0
46 49 -92 0
-15 -48 66 0
24 58 -74 0
-14 -46 88 0
-2 -86 89 0
15 63 -78 0
-46 47 0
-44 48 78 0
-1 6 45 0
11 -22 -72 0
1 -52 88 0
-31 -67 -71 0
8 -32 -62 0
-43 -49 -78 0
21 -27 48 0
-19 -24 55 0
-15 17 82 0
16 76 0
-34 -75 -91 0
-27 59 -68 0
-61 69 88 0
44 -80 0
38 39 48 0
44 -65 68 0
44 56 80 0
38 63 -69 0
-46 74 89 0
-2 63 85 0
45 51 0
-9 31 51 0
7 -29 58 0
-28 36 -91 0
5 -39 -87 0
-20 27 -92 0
46 -65 71 0
-17 26 44 0
-11 18 -40 0
-23 34 -47 0
-8 -57 75 0
-5 -38 52 0
-19 38 44 0
-28 -43 58 0
-32 61 -64 0
-72 84 -85 0
45 -61 -81 0
-16 34 -59 0
-57 62 -83 0
37 39 74 0
28 65 91 0
53 -83 86 0
24 30 -81 0
8 9 43 0
10 20 34 0
32 40 0
-19 -55 -70 0
64 -69 -70 0
8 21 70 0
-27 47 90 0
-37 52 -74 0
17 72 -85 0
1 30 79 0
15 61 -76 0
3 52 -77 0
28 -32 -71 0
5 -13 -70 0
23 61 85 0
-22 -58 -67 0
-16 -70 73 0
27 -37 91 0
33 -57 89 0
-4 35 69 0
24 46 -59 0
35 52 83 0
-60 -76 -82 0
-38 -64 81 0
-4 52 -71 0
10 -14 90 0
-34 -42 -62 0
-32 36 -55 0
-15 34 65 0
23 44 45 0
-70 -80 -89 0
-76 83 85 0
1 51 52 0
-56 -74 0
-13 14 84 0
18 57 0
-27 46 -85 0
-33 75 76 0
20 -54 77 0
-54 56 60 0
64 -84 86 0
35 36 -60 0
13 54 -58 0
-49 -74 -85 0
-9 -74 92 0
-23 -32 49 0
-13 45 -85 0
6 61 87 0
-40 56 -63 0
-16 -48 -49 0
-40 70 91 0
66 70 84 0
39 -85 91 0
4 -11 -85 0
-28 -85 0
-6 30 79 0
15 -51 -82 0
-32 66 -89 0
10 -89 0
-32 65 -87 0
-36 -37 -86 0
41 -88 0
69 72 0
46 52 -67 0
-34 62 80 0
-1 -17 -26 0
38 -44 -45 0
-55 77 88 0
-54 -67 -79 0
-19 -27 -50 0
-12 -56 -62 0
11 -46 67 0
6 -84 -89 0
71 76 85 0
-35 -52 -90 0
66 89 91 0
-9 17 47 0
-40 -59 72 0
32 -47 -62 0
-49 78 0
10 -49 -76 0
-1 11 -76 0
11 -63 -88 0
22 -53 -84 0
59 -68 -73 0
4 -22 -54 0
-9 17 -71 0
-18 -85 -87 0
-43 -76 77 0
-20 46 -57 0
-27 31 32 0
10 58 -75 0
-6 30 0
-43 49 -80 0
40 -78 -87 0
-8 41 46 0
6 -52 92 0
6 -51 59 0
1 -18 -28 0
17 32 70 0
-51 -82 0
-57 -65 -73 0
-73 -81 84 0
-26 -49 75 0
25 26 60 0
10 62 -84 0
-36 -41 86 0
50 51 66 0
22 46 70 0
-13 76 77 0
-21 28 38 0
19 30 51 0
23 34 -89 0
10 28 -78 0
37 69 -72 0
14 -25 56 0
17 55 0
10 -44 -64 0
5 35 -63 0
27 47 75 0
36 -85 0
42 -58 -79 0
-66 86 0
7 50 63 0
40 44 -56 0
14 50 -81 0
13 18 -26 0
2 11 47 0
-12 -49 83 0
7 -71 75 0
-11 -36 88 0
31 48 50 0
-26 -63 0
-7 -70 -74 0
17 -52 0
6 35 -66 0
50 -61 81 0
-34 81 87 0
12 -35 85 0
-28 78 0
-60 -67 -80 0
8 -65 0
-8 23 -70 0
81 89 92 0
-3 -63 -74 0
24 89 91 0
-40 63 73 0
3 20 78 0
-1 -23 -26 0
1 -12 -76 0
-22 25 -26 0
18 -34 54 0
86 -91 0
-15 -28 -74 0
30 -48 -70 0
39 -40 -76 0
35 90 0
-5 -53 63 0
-17 -42 76 0
-7 21 -43 0
-6 15 20 0
45 -71 85 0
27 74 82 0
20 87 0
-44 51 -84 0
42 46 -72 0
-19 65 91 0
-28 -61 88 0
15 18 -38 0
-55 -63 -86 0
