p cnf 40 204
2 -16 -20 -21 0
3 10 16 -23 -24 -25 -26 -28 0
12 24 -33 -35 0
6 13 25 30 33 -37 -38 -39 0
1 9 -2 0
-1 -9 2 0
1 10 -3 0
-1 -10 3 0
1 11 -4 0
-1 -11 4 0
1 12 -5 0
-1 -12 5 0
1 13 -6 0
-1 -13 6 0
1 14 -7 0
-1 -14 7 0
1 15 -8 0
-1 -15 8 0
2 16 -3 0
-2 -16 3 0
2 17 -4 0
-2 -17 4 0
2 18 -5 0
-2 -18 5 0
2 19 -6 0
-2 -19 6 0
2 20 -7 0
-2 -20 7 0
2 21 -8 0
-2 -21 8 0
-2 -22 0
3 23 -4 0
-3 -23 4 0
3 24 -5 0
-3 -24 5 0
3 25 -6 0
-3 -25 6 0
3 26 -7 0
-3 -26 7 0
3 27 -8 0
-3 -27 8 0
-3 -28 0
4 29 -5 0
-4 -29 5 0
4 30 -6 0
-4 -30 6 0
4 31 -7 0
-4 -31 7 0
4 32 -8 0
-4 -32 8 0
5 33 -6 0
-5 -33 6 0
5 34 -7 0
-5 -34 7 0
5 35 -8 0
-5 -35 8 0
-5 -36 0
6 37 -7 0
-6 -37 7 0
6 38 -8 0
-6 -38 8 0
-6 -39 0
7 40 -8 0
-7 -40 8 0
9 16 -10 0
-9 -16 10 0
9 17 -11 0
-9 -17 11 0
9 18 -12 0
-9 -18 12 0
9 19 -13 0
-9 -19 13 0
9 20 -14 0
-9 -20 14 0
9 21 -15 0
-9 -21 15 0
-9 -22 0
10 23 -11 0
-10 -23 11 0
10 24 -12 0
-10 -24 12 0
10 25 -13 0
-10 -25 13 0
10 26 -14 0
-10 -26 14 0
10 27 -15 0
-10 -27 15 0
-10 -28 0
11 29 -12 0
-11 -29 12 0
11 30 -13 0
-11 -30 13 0
11 31 -14 0
-11 -31 14 0
11 32 -15 0
-11 -32 15 0
12 33 -13 0
-12 -33 13 0
12 34 -14 0
-12 -34 14 0
12 35 -15 0
-12 -35 15 0
-12 -36 0
13 37 -14 0
-13 -37 14 0
13 38 -15 0
-13 -38 15 0
-13 -39 0
14 40 -15 0
-14 -40 15 0
16 23 -17 0
-16 -23 17 0
16 24 -18 0
-16 -24 18 0
16 25 -19 0
-16 -25 19 0
16 26 -20 0
-16 -26 20 0
16 27 -21 0
-16 -27 21 0
16 28 -22 0
-16 -28 22 0
17 29 -18 0
-17 -29 18 0
17 30 -19 0
-17 -30 19 0
17 31 -20 0
-17 -31 20 0
17 32 -21 0
-17 -32 21 0
17 -22 0
18 33 -19 0
-18 -33 19 0
18 34 -20 0
-18 -34 20 0
18 35 -21 0
-18 -35 21 0
18 36 -22 0
-18 -36 22 0
19 37 -20 0
-19 -37 20 0
19 38 -21 0
-19 -38 21 0
19 39 -22 0
-19 -39 22 0
20 40 -21 0
-20 -40 21 0
20 -22 0
21 -22 0
23 29 -24 0
-23 -29 24 0
23 30 -25 0
-23 -30 25 0
23 31 -26 0
-23 -31 26 0
23 32 -27 0
-23 -32 27 0
23 -28 0
24 33 -25 0
-24 -33 25 0
24 34 -26 0
-24 -34 26 0
24 35 -27 0
-24 -35 27 0
24 36 -28 0
-24 -36 28 0
25 37 -26 0
-25 -37 26 0
25 38 -27 0
-25 -38 27 0
25 39 -28 0
-25 -39 28 0
26 40 -27 0
-26 -40 27 0
26 -28 0
27 -28 0
29 33 -30 0
-29 -33 30 0
29 34 -31 0
-29 -34 31 0
29 35 -32 0
-29 -35 32 0
-29 -36 0
30 37 -31 0
-30 -37 31 0
30 38 -32 0
-30 -38 32 0
-30 -39 0
31 40 -32 0
-31 -40 32 0
33 37 -34 0
-33 -37 34 0
33 38 -35 0
-33 -38 35 0
33 39 -36 0
-33 -39 36 0
34 40 -35 0
-34 -40 35 0
34 -36 0
35 -36 0
37 40 -38 0
-37 -40 38 0
37 -39 0
38 -39 0
