literals reduced,clauses reduced,assignments,assignments to failure,sat
53,102,44,0,True
54,102,47,0,True
53,102,45,0,True
53,102,44,0,True
54,102,46,0,True
51,102,41,0,True
53,102,41,0,True
54,102,42,0,True
53,102,43,0,True
53,102,46,0,True
53,102,47,0,True
53,102,45,0,True
51,97,45,38,False
52,102,42,0,True
54,102,44,0,True
54,102,42,0,True
8,30,9,0,True
51,102,43,0,True
53,102,47,0,True
52,108,41,0,True
52,108,45,0,True
54,108,47,0,True
53,108,48,0,True
51,108,45,0,True
54,108,37,0,True
55,109,33,0,True
52,108,43,0,True
55,109,41,0,True
53,108,41,0,True
