p cnf 99 395
29 66 87 0
-61 -65 86 0
-8 12 -66 0
-48 -79 -83 0
-20 -43 58 0
1 -35 53 0
29 -58 -89 0
18 39 -99 0
15 -42 -74 0
53 -54 -94 0
59 -64 -78 0
16 23 -64 0
-49 -73 95 0
76 -77 94 0
22 -84 -90 0
-52 69 -89 0
26 33 34 0
-53 59 92 0
18 52 -85 0
-30 -32 -51 0
12 84 0
-1 -8 86 0
30 33 61 0
33 59 -73 0
-47 -78 -88 0
-8 -12 -66 0
-12 -66 99 0
-23 46 76 0
9 -22 -60 0
-9 -56 -67 0
-5 -27 -66 0
24 67 -81 0
14 22 -38 0
-53 60 -74 0
26 -51 -55 0
-13 -81 89 0
8 -53 -77 0
18 -46 70 0
-1 -48 -87 0
17 -30 -96 0
-4 18 -55 0
-39 -43 -99 0
13 -45 -84 0
29 -83 88 0
46 76 -84 0
-6 24 66 0
9 -14 -43 0
29 -71 -82 0
36 -83 -87 0
21 73 92 0
30 -50 -52 0
-13 43 75 0
18 -23 -78 0
17 48 60 0
6 91 94 0
4 -74 -87 0
-15 -49 -58 0
-3 24 54 0
-9 -32 -34 0
19 -78 83 0
-52 -59 61 0
-23 59 -76 0
40 59 96 0
-5 -41 -46 0
24 -54 -68 0
35 -45 -86 0
-10 -65 -72 0
9 -12 -15 0
18 37 -93 0
-22 25 -78 0
78 -81 93 0
7 93 99 0
38 49 -52 0
-17 50 81 0
-72 76 -95 0
51 69 71 0
-1 -43 68 0
-26 46 -56 0
-9 51 82 0
-14 -35 -42 0
15 74 -97 0
36 -39 -89 0
10 -25 -41 0
32 86 -90 0
12 -64 -96 0
13 -74 78 0
15 -44 -94 0
6 -22 93 0
19 52 56 0
-19 42 -43 0
43 62 91 0
-23 63 -75 0
75 -87 -93 0
42 49 -98 0
90 94 -97 0
-30 -32 -69 0
-30 63 -72 0
-24 -34 -79 0
26 29 -47 0
4 7 -60 0
-55 -65 89 0
-3 86 -92 0
-18 45 -53 0
20 21 -27 0
-13 36 82 0
-18 26 69 0
-35 -36 -59 0
40 -63 89 0
-47 -67 75 0
-34 -39 68 0
-1 23 48 0
26 -42 -81 0
19 26 85 0
41 -76 92 0
5 6 -58 0
-44 97 -99 0
-30 56 67 0
-33 -51 76 0
12 -13 -36 0
-23 -86 95 0
-4 15 -23 0
24 50 -66 0
9 -24 31 0
27 -57 -77 0
-4 6 -49 0
40 -45 93 0
-8 59 73 0
35 -69 76 0
41 -71 -97 0
6 21 61 0
25 -32 -85 0
-1 30 55 0
46 -56 61 0
64 -91 97 0
-23 28 -59 0
-53 -64 92 0
-6 48 -94 0
-31 -71 -84 0
31 49 -80 0
-8 31 -63 0
-71 -74 -87 0
-25 -64 68 0
22 -48 -74 0
11 -12 73 0
41 63 65 0
36 -37 -39 0
27 42 74 0
-12 -68 -73 0
38 -67 71 0
-72 88 91 0
54 65 85 0
33 -36 93 0
3 45 -47 0
29 49 75 0
-62 63 -93 0
23 -25 0
-15 -39 -98 0
-22 67 82 0
35 -60 67 0
3 -43 -89 0
36 51 -85 0
87 -91 93 0
-8 25 99 0
14 36 78 0
10 -28 -72 0
-76 -78 -79 0
8 -32 38 0
19 -21 -72 0
16 -37 88 0
3 22 -86 0
-3 -21 64 0
-4 84 -99 0
8 29 -78 0
-19 -49 93 0
5 -9 -38 0
62 81 -82 0
-8 27 -76 0
-3 9 -25 0
-46 49 -56 0
-8 47 64 0
-29 43 91 0
-58 -79 94 0
-16 -34 -82 0
6 -20 -99 0
-31 38 84 0
11 28 89 0
18 29 -81 0
17 29 -47 0
30 -39 89 0
-6 -72 92 0
-1 40 -47 0
10 -68 -69 0
25 54 66 0
57 -66 89 0
-13 49 94 0
30 64 72 0
-33 47 -89 0
-48 -62 94 0
-29 42 -94 0
-18 34 -86 0
63 81 84 0
18 -49 96 0
29 -31 38 0
-31 -69 90 0
-6 -9 29 0
-35 -58 -97 0
16 -55 66 0
-25 51 91 0
2 -34 78 0
-76 84 88 0
6 21 -54 0
22 -39 -80 0
-1 8 48 0
5 -69 -86 0
2 -17 -83 0
-11 -66 -82 0
9 -37 -82 0
16 62 89 0
11 -18 -26 0
36 52 -86 0
-34 -54 62 0
4 24 66 0
-43 65 -80 0
5 21 66 0
-11 51 -81 0
1 -26 -86 0
7 90 -94 0
-43 48 53 0
-35 -63 -80 0
20 47 58 0
-15 34 -76 0
-38 -40 -62 0
5 -61 -95 0
-28 63 -88 0
9 18 24 0
-34 -38 63 0
-47 54 89 0
24 26 73 0
-17 42 97 0
48 53 -61 0
64 94 0
15 -85 -91 0
12 20 94 0
-37 -47 94 0
27 40 -43 0
38 -67 77 0
-6 -18 -76 0
-7 -11 -30 0
-8 81 -96 0
58 -68 -69 0
-37 43 -60 0
31 44 -56 0
-16 21 63 0
42 -60 -65 0
-81 -88 -95 0
-12 32 59 0
9 -29 49 0
-31 -46 63 0
35 -69 87 0
-8 -14 -87 0
49 -50 90 0
91 -97 0
69 -86 -96 0
28 -54 -63 0
-4 27 -54 0
-34 35 81 0
