p cnf 95 381
23 59 90 0
-31 68 -95 0
-9 65 -81 0
-4 78 93 0
-21 45 49 0
9 40 70 0
-52 -89 0
5 -37 -67 0
37 -85 87 0
-17 -23 -66 0
-19 44 49 0
42 -45 -93 0
-22 -28 93 0
15 45 87 0
-4 -39 41 0
-28 30 94 0
-3 38 62 0
-37 -64 71 0
-31 -32 54 0
-5 25 -49 0
-17 -24 -31 0
-13 17 -40 0
-18 -74 92 0
-46 -48 92 0
4 50 0
38 -53 -64 0
-28 -40 -54 0
9 -59 84 0
-57 58 -81 0
33 -42 52 0
-8 30 -68 0
10 16 -59 0
-6 91 0
58 78 83 0
-64 87 -95 0
36 -76 -90 0
15 85 94 0
-49 -56 -64 0
-54 -72 -87 0
28 -47 -49 0
2 -60 62 0
33 41 -91 0
18 52 70 0
9 -46 69 0
33 65 93 0
17 -38 77 0
8 -18 -87 0
30 -41 94 0
9 -24 84 0
-24 32 55 0
-38 45 -64 0
29 -67 79 0
-41 46 -87 0
-24 -88 93 0
46 -50 0
-19 35 40 0
5 -56 -69 0
23 56 -82 0
5 -37 -46 0
-9 11 -71 0
35 67 0
51 63 93 0
-23 43 66 0
5 26 -59 0
-48 52 -57 0
-27 -88 89 0
30 48 -89 0
1 -47 -62 0
26 -38 -85 0
4 -39 -72 0
31 53 -92 0
-6 -11 36 0
36 52 -94 0
4 44 -69 0
-4 90 -95 0
-27 53 -82 0
-56 -62 64 0
15 -37 51 0
-48 67 73 0
-3 -78 0
5 18 24 0
-45 59 -87 0
12 -47 66 0
-15 61 91 0
6 -10 -53 0
-16 84 90 0
66 -87 0
56 63 -84 0
-59 83 90 0
38 -42 -44 0
4 9 -66 0
-42 -70 76 0
-53 -57 -61 0
-23 25 -41 0
13 83 85 0
-22 -23 -72 0
-22 -49 -92 0
14 29 -34 0
-2 -46 -53 0
14 65 -75 0
-24 49 -55 0
30 41 -91 0
1 -11 -65 0
-15 17 0
-14 -23 -82 0
-59 -72 -79 0
21 30 -34 0
-13 15 -67 0
-48 -60 -68 0
-48 64 0
-53 -59 -77 0
-7 21 -43 0
-19 -82 0
-15 16 -63 0
-12 -32 -88 0
19 54 61 0
-14 -16 -60 0
-2 24 66 0
19 41 48 0
-34 -42 60 0
-2 33 -84 0
-8 -62 85 0
-62 75 91 0
64 -88 -89 0
15 48 76 0
21 -47 -67 0
-14 -51 63 0
5 -47 -71 0
7 -52 79 0
-2 -72 -87 0
23 -61 64 0
-22 -91 0
-5 -35 86 0
-36 45 0
-16 -64 71 0
10 -51 74 0
-4 59 0
-42 61 84 0
52 80 0
41 72 76 0
6 39 43 0
-33 -39 40 0
19 71 85 0
15 -47 79 0
-9 31 67 0
-45 55 -90 0
17 -18 -19 0
10 -38 49 0
18 -60 -91 0
27 -69 -82 0
5 -18 78 0
-7 19 -26 0
-15 -36 93 0
28 59 72 0
7 73 -85 0
-26 -28 47 0
15 38 -93 0
51 54 -67 0
-19 -50 -55 0
-23 53 -85 0
-37 -60 83 0
17 22 -26 0
-31 34 84 0
46 -74 -90 0
26 -61 68 0
-15 -83 -90 0
-2 3 66 0
-14 -58 78 0
34 -87 94 0
14 36 73 0
-38 64 -89 0
23 -59 -61 0
-5 -75 86 0
-18 -37 -53 0
-41 43 80 0
30 71 -88 0
12 28 78 0
-1 -78 79 0
28 -56 -72 0
5 -11 86 0
-67 70 89 0
43 -74 -92 0
9 33 81 0
83 -89 -93 0
-27 50 95 0
-45 -80 87 0
-9 34 43 0
3 -12 -26 0
5 -12 -42 0
-28 69 86 0
-9 -51 0
14 -17 86 0
65 -86 93 0
-15 67 82 0
-33 52 -85 0
33 -77 90 0
4 -39 78 0
1 -30 61 0
14 32 -72 0
-28 77 82 0
15 33 -66 0
-8 39 -79 0
-62 68 76 0
-58 65 92 0
14 38 0
-20 -64 -85 0
1 -23 -75 0
24 -33 66 0
-5 32 -80 0
-9 -34 -59 0
-11 -50 -59 0
20 48 74 0
38 -41 -86 0
-40 45 89 0
12 35 -53 0
-33 57 64 0
18 -86 94 0
-52 -80 86 0
-10 24 -54 0
3 -41 -42 0
-17 22 -59 0
27 -57 -79 0
-31 56 72 0
-66 -76 -82 0
-20 -38 73 0
8 -17 29 0
-32 42 -46 0
56 -86 93 0
-19 -70 77 0
-46 -85 0
-57 -81 94 0
71 -79 0
-59 77 -78 0
10 66 69 0
7 -27 34 0
41 76 77 0
10 -34 69 0
-12 -27 74 0
-48 94 0
24 73 -84 0
-1 -9 30 0
-7 -66 -69 0
1 -57 -80 0
50 -53 -79 0
54 -78 -82 0
3 -32 43 0
6 -9 51 0
-62 -65 -70 0
-44 -47 88 0
28 -30 -74 0
10 61 -78 0
4 -40 59 0
-42 46 -69 0
-23 -29 88 0
34 79 85 0
16 -72 -95 0
-30 -93 0
-46 73 95 0
51 -60 -63 0
-4 91 0
11 -13 70 0
68 -79 -81 0
-7 11 -26 0
-48 -74 89 0
2 33 -63 0
32 34 92 0
89 -93 94 0
47 57 -78 0
27 47 60 0
18 83 -94 0
16 31 -81 0
-16 -69 -76 0
-33 70 78 0
-45 86 -89 0
-2 5 -34 0
23 45 81 0
-11 31 57 0
-12 73 -90 0
-50 -72 92 0
49 59 -94 0
46 55 72 0
15 -69 -72 0
28 46 -60 0
-30 -32 -51 0
-30 -71 85 0
-64 67 -72 0
31 34 -73 0
-6 49 55 0
-5 -11 -88 0
58 62 76 0
18 -44 -62 0
26 80 82 0
85 87 -92 0
-40 -57 -84 0
-1 -20 -27 0
-33 -43 54 0
-25 -30 88 0
40 73 -75 0
-30 38 45 0
2 -48 -87 0
3 14 -24 0
38 48 -79 0
-11 -13 16 0
24 -30 -66 0
-19 -60 -85 0
-27 -81 -90 0
59 73 -78 0
31 -82 -95 0
14 -22 -55 0
1 -42 55 0
-60 61 70 0
33 -45 -95 0
4 32 60 0
-69 75 -78 0
44 -49 58 0
-9 -61 -71 0
69 -77 -91 0
11 -19 63 0
2 5 95 0
-56 63 64 0
-2 32 90 0
-5 93 -94 0
31 -38 -82 0
22 56 82 0
-52 -56 87 0
49 -61 63 0
48 64 74 0
-42 -65 95 0
45 -46 65 0
51 -61 -82 0
-8 67 90 0
4 -30 62 0
31 47 -62 0
29 32 33 0
57 -63 83 0
27 41 -44 0
37 46 -92 0
-43 -57 95 0
18 25 95 0
-5 35 69 0
4 37 -57 0
49 -87 94 0
9 -37 -95 0
-18 38 86 0
6 17 54 0
-29 -42 -55 0
8 50 -94 0
-32 -49 -59 0
-12 -35 81 0
42 78 88 0
-32 47 -68 0
42 -82 90 0
12 15 19 0
54 83 88 0
45 48 53 0
-5 -38 39 0
-15 80 92 0
-32 71 0
4 -32 -56 0
42 -75 -81 0
22 28 -47 0
9 -33 42 0
-29 -42 -55 0
-50 -54 -82 0
-13 46 76 0
-22 -66 82 0
34 40 -90 0
-15 35 76 0
10 34 0
40 -50 -84 0
36 50 -62 0
20 -24 73 0
-80 84 -89 0
31 39 91 0
-37 84 -92 0
-5 18 86 0
-7 -15 60 0
26 -51 -73 0
-44 -62 78 0
31 61 -72 0
-49 51 -54 0
