p cnf 42 224
-1 -2 -3 -6 0
1 -10 -12 -13 -15 0
2 10 -19 -20 0
3 -27 -28 0
12 19 -31 -32 -35 0
13 20 31 -36 -37 -39 0
15 28 37 0
1 10 -2 0
-1 -10 2 0
1 11 -3 0
-1 -11 3 0
1 12 -4 0
-1 -12 4 0
1 13 -5 0
-1 -13 5 0
1 14 -6 0
-1 -14 6 0
1 15 -7 0
-1 -15 7 0
1 16 -8 0
-1 -16 8 0
1 17 -9 0
-1 -17 9 0
2 18 -3 0
-2 -18 3 0
2 19 -4 0
-2 -19 4 0
2 20 -5 0
-2 -20 5 0
2 21 -6 0
-2 -21 6 0
2 22 -7 0
-2 -22 7 0
2 23 -8 0
-2 -23 8 0
2 24 -9 0
-2 -24 9 0
3 25 -4 0
-3 -25 4 0
3 26 -5 0
-3 -26 5 0
3 27 -6 0
-3 -27 6 0
3 28 -7 0
-3 -28 7 0
3 29 -8 0
-3 -29 8 0
3 30 -9 0
-3 -30 9 0
4 31 -5 0
-4 -31 5 0
4 32 -6 0
-4 -32 6 0
4 33 -7 0
-4 -33 7 0
4 34 -8 0
-4 -34 8 0
4 35 -9 0
-4 -35 9 0
5 36 -6 0
-5 -36 6 0
5 37 -7 0
-5 -37 7 0
5 38 -8 0
-5 -38 8 0
5 39 -9 0
-5 -39 9 0
6 40 -7 0
-6 -40 7 0
6 -8 0
6 -9 0
7 41 -8 0
-7 -41 8 0
7 42 -9 0
-7 -42 9 0
8 -9 0
10 18 -11 0
-10 -18 11 0
10 19 -12 0
-10 -19 12 0
10 20 -13 0
-10 -20 13 0
10 21 -14 0
-10 -21 14 0
10 22 -15 0
-10 -22 15 0
10 23 -16 0
-10 -23 16 0
10 24 -17 0
-10 -24 17 0
11 25 -12 0
-11 -25 12 0
11 26 -13 0
-11 -26 13 0
11 27 -14 0
-11 -27 14 0
11 28 -15 0
-11 -28 15 0
11 29 -16 0
-11 -29 16 0
11 30 -17 0
-11 -30 17 0
12 31 -13 0
-12 -31 13 0
12 32 -14 0
-12 -32 14 0
12 33 -15 0
-12 -33 15 0
12 34 -16 0
-12 -34 16 0
12 35 -17 0
-12 -35 17 0
13 36 -14 0
-13 -36 14 0
13 37 -15 0
-13 -37 15 0
13 38 -16 0
-13 -38 16 0
13 39 -17 0
-13 -39 17 0
14 40 -15 0
-14 -40 15 0
14 -16 0
14 -17 0
15 41 -16 0
-15 -41 16 0
15 42 -17 0
-15 -42 17 0
16 -17 0
18 25 -19 0
-18 -25 19 0
18 26 -20 0
-18 -26 20 0
18 27 -21 0
-18 -27 21 0
18 28 -22 0
-18 -28 22 0
18 29 -23 0
-18 -29 23 0
18 30 -24 0
-18 -30 24 0
19 31 -20 0
-19 -31 20 0
19 32 -21 0
-19 -32 21 0
19 33 -22 0
-19 -33 22 0
19 34 -23 0
-19 -34 23 0
19 35 -24 0
-19 -35 24 0
20 36 -21 0
-20 -36 21 0
20 37 -22 0
-20 -37 22 0
20 38 -23 0
-20 -38 23 0
20 39 -24 0
-20 -39 24 0
21 40 -22 0
-21 -40 22 0
21 -23 0
21 -24 0
22 41 -23 0
-22 -41 23 0
22 42 -24 0
-22 -42 24 0
23 -24 0
25 31 -26 0
-25 -31 26 0
25 32 -27 0
-25 -32 27 0
25 33 -28 0
-25 -33 28 0
25 34 -29 0
-25 -34 29 0
25 35 -30 0
-25 -35 30 0
26 36 -27 0
-26 -36 27 0
26 37 -28 0
-26 -37 28 0
26 38 -29 0
-26 -38 29 0
26 39 -30 0
-26 -39 30 0
27 40 -28 0
-27 -40 28 0
27 -29 0
27 -30 0
28 41 -29 0
-28 -41 29 0
28 42 -30 0
-28 -42 30 0
29 -30 0
31 36 -32 0
-31 -36 32 0
31 37 -33 0
-31 -37 33 0
31 38 -34 0
-31 -38 34 0
31 39 -35 0
-31 -39 35 0
32 40 -33 0
-32 -40 33 0
32 -34 0
32 -35 0
33 41 -34 0
-33 -41 34 0
33 42 -35 0
-33 -42 35 0
34 -35 0
36 40 -37 0
-36 -40 37 0
36 -38 0
36 -39 0
37 41 -38 0
-37 -41 38 0
37 42 -39 0
-37 -42 39 0
38 -39 0
-40 -41 0
-40 -42 0
41 -42 0
