p cnf 43 232
-1 -4 -5 -9 0
1 -10 -14 -15 -17 0
10 -21 -23 0
-25 -28 0
4 25 -30 -32 -33 0
5 -35 -36 0
14 21 30 -40 0
23 32 36 41 0
1 10 -2 0
-1 -10 2 0
1 11 -3 0
-1 -11 3 0
1 12 -4 0
-1 -12 4 0
1 13 -5 0
-1 -13 5 0
1 14 -6 0
-1 -14 6 0
1 15 -7 0
-1 -15 7 0
1 16 -8 0
-1 -16 8 0
1 17 -9 0
-1 -17 9 0
2 18 -3 0
-2 -18 3 0
2 19 -4 0
-2 -19 4 0
2 20 -5 0
-2 -20 5 0
2 21 -6 0
-2 -21 6 0
2 22 -7 0
-2 -22 7 0
2 23 -8 0
-2 -23 8 0
2 24 -9 0
-2 -24 9 0
3 25 -4 0
-3 -25 4 0
3 26 -5 0
-3 -26 5 0
3 27 -6 0
-3 -27 6 0
-3 7 0
-3 8 0
3 28 -9 0
-3 -28 9 0
4 29 -5 0
-4 -29 5 0
4 30 -6 0
-4 -30 6 0
4 31 -7 0
-4 -31 7 0
4 32 -8 0
-4 -32 8 0
4 33 -9 0
-4 -33 9 0
5 34 -6 0
-5 -34 6 0
5 35 -7 0
-5 -35 7 0
5 36 -8 0
-5 -36 8 0
5 37 -9 0
-5 -37 9 0
6 38 -7 0
-6 -38 7 0
6 39 -8 0
-6 -39 8 0
6 40 -9 0
-6 -40 9 0
7 41 -8 0
-7 -41 8 0
7 42 -9 0
-7 -42 9 0
8 43 -9 0
-8 -43 9 0
10 18 -11 0
-10 -18 11 0
10 19 -12 0
-10 -19 12 0
10 20 -13 0
-10 -20 13 0
10 21 -14 0
-10 -21 14 0
10 22 -15 0
-10 -22 15 0
10 23 -16 0
-10 -23 16 0
10 24 -17 0
-10 -24 17 0
11 25 -12 0
-11 -25 12 0
11 26 -13 0
-11 -26 13 0
11 27 -14 0
-11 -27 14 0
-11 15 0
-11 16 0
11 28 -17 0
-11 -28 17 0
12 29 -13 0
-12 -29 13 0
12 30 -14 0
-12 -30 14 0
12 31 -15 0
-12 -31 15 0
12 32 -16 0
-12 -32 16 0
12 33 -17 0
-12 -33 17 0
13 34 -14 0
-13 -34 14 0
13 35 -15 0
-13 -35 15 0
13 36 -16 0
-13 -36 16 0
13 37 -17 0
-13 -37 17 0
14 38 -15 0
-14 -38 15 0
14 39 -16 0
-14 -39 16 0
14 40 -17 0
-14 -40 17 0
15 41 -16 0
-15 -41 16 0
15 42 -17 0
-15 -42 17 0
16 43 -17 0
-16 -43 17 0
18 25 -19 0
-18 -25 19 0
18 26 -20 0
-18 -26 20 0
18 27 -21 0
-18 -27 21 0
-18 22 0
-18 23 0
18 28 -24 0
-18 -28 24 0
19 29 -20 0
-19 -29 20 0
19 30 -21 0
-19 -30 21 0
19 31 -22 0
-19 -31 22 0
19 32 -23 0
-19 -32 23 0
19 33 -24 0
-19 -33 24 0
20 34 -21 0
-20 -34 21 0
20 35 -22 0
-20 -35 22 0
20 36 -23 0
-20 -36 23 0
20 37 -24 0
-20 -37 24 0
21 38 -22 0
-21 -38 22 0
21 39 -23 0
-21 -39 23 0
21 40 -24 0
-21 -40 24 0
22 41 -23 0
-22 -41 23 0
22 42 -24 0
-22 -42 24 0
23 43 -24 0
-23 -43 24 0
25 29 -26 0
-25 -29 26 0
25 30 -27 0
-25 -30 27 0
25 31 0
25 32 0
25 33 -28 0
-25 -33 28 0
26 34 -27 0
-26 -34 27 0
26 35 0
26 36 0
26 37 -28 0
-26 -37 28 0
27 38 0
27 39 0
27 40 -28 0
-27 -40 28 0
-42 28 0
-43 28 0
29 34 -30 0
-29 -34 30 0
29 35 -31 0
-29 -35 31 0
29 36 -32 0
-29 -36 32 0
29 37 -33 0
-29 -37 33 0
30 38 -31 0
-30 -38 31 0
30 39 -32 0
-30 -39 32 0
30 40 -33 0
-30 -40 33 0
31 41 -32 0
-31 -41 32 0
31 42 -33 0
-31 -42 33 0
32 43 -33 0
-32 -43 33 0
34 38 -35 0
-34 -38 35 0
34 39 -36 0
-34 -39 36 0
34 40 -37 0
-34 -40 37 0
35 41 -36 0
-35 -41 36 0
35 42 -37 0
-35 -42 37 0
36 43 -37 0
-36 -43 37 0
38 41 -39 0
-38 -41 39 0
38 42 -40 0
-38 -42 40 0
39 43 -40 0
-39 -43 40 0
41 43 -42 0
-41 -43 42 0
