p cnf 22 64
1 2 3 0
1 2 4 0
1 3 4 0
2 3 4 0
5 6 0
5 7 0
6 7 0
5 6 7 0
8 9 10 0
8 9 0
8 10 0
9 10 0
11 12 13 0
11 12 14 0
11 13 14 0
12 13 14 0
15 16 17 0
15 16 18 0
15 17 18 0
16 17 18 0
19 20 21 0
19 20 22 0
19 21 22 0
20 21 22 0
-1 -8 -11 -15 0
-1 -8 -11 -19 0
-1 -8 -15 -19 0
-1 -11 -15 -19 0
-8 -11 -15 -19 0
-2 -5 -9 -12 0
-2 -5 -9 -16 0
-2 -5 -9 -20 0
-2 -5 -12 -16 0
-2 -5 -12 -20 0
-2 -5 -16 -20 0
-2 -9 -12 -16 0
-2 -9 -12 -20 0
-2 -9 -16 -20 0
-2 -12 -16 -20 0
-5 -9 -12 -16 0
-5 -9 -12 -20 0
-5 -9 -16 -20 0
-5 -12 -16 -20 0
-9 -12 -16 -20 0
-3 -6 -10 -13 0
-3 -6 -10 -17 0
-3 -6 -10 -21 0
-3 -6 -13 -17 0
-3 -6 -13 -21 0
-3 -6 -17 -21 0
-3 -10 -13 -17 0
-3 -10 -13 -21 0
-3 -10 -17 -21 0
-3 -13 -17 -21 0
-6 -10 -13 -17 0
-6 -10 -13 -21 0
-6 -10 -17 -21 0
-6 -13 -17 -21 0
-10 -13 -17 -21 0
-4 -7 -14 -18 0
-4 -7 -14 -22 0
-4 -7 -18 -22 0
-4 -14 -18 -22 0
-7 -14 -18 -22 0
