p cnf 23 81
1 2 3 0
1 2 4 0
1 3 4 0
2 3 4 0
5 6 7 0
8 9 10 0
8 9 11 0
8 10 11 0
9 10 11 0
12 13 14 0
12 13 15 0
12 14 15 0
13 14 15 0
16 17 18 0
16 17 19 0
16 18 19 0
17 18 19 0
20 21 22 0
20 21 23 0
20 22 23 0
21 22 23 0
-1 -8 -12 0
-1 -8 -16 0
-1 -8 -20 0
-1 -12 -16 0
-1 -12 -20 0
-1 -16 -20 0
-1 -8 -12 -16 0
-1 -8 -12 -20 0
-1 -8 -16 -20 0
-1 -12 -16 -20 0
-8 -12 -16 0
-8 -12 -20 0
-8 -16 -20 0
-12 -16 -20 0
-8 -12 -16 -20 0
-2 -5 -9 -13 0
-2 -5 -9 -17 0
-2 -5 -9 -21 0
-2 -5 -13 -17 0
-2 -5 -13 -21 0
-2 -5 -17 -21 0
-2 -9 -13 -17 0
-2 -9 -13 -21 0
-2 -9 -17 -21 0
-2 -13 -17 -21 0
-5 -9 -13 -17 0
-5 -9 -13 -21 0
-5 -9 -17 -21 0
-5 -13 -17 -21 0
-9 -13 -17 -21 0
-3 -6 -10 -14 0
-3 -6 -10 -18 0
-3 -6 -10 -22 0
-3 -6 -14 -18 0
-3 -6 -14 -22 0
-3 -6 -18 -22 0
-3 -10 -14 -18 0
-3 -10 -14 -22 0
-3 -10 -18 -22 0
-3 -14 -18 -22 0
-6 -10 -14 -18 0
-6 -10 -14 -22 0
-6 -10 -18 -22 0
-6 -14 -18 -22 0
-10 -14 -18 -22 0
-4 -7 -11 -15 0
-4 -7 -11 -19 0
-4 -7 -11 -23 0
-4 -7 -15 -19 0
-4 -7 -15 -23 0
-4 -7 -19 -23 0
-4 -11 -15 -19 0
-4 -11 -15 -23 0
-4 -11 -19 -23 0
-4 -15 -19 -23 0
-7 -11 -15 -19 0
-7 -11 -15 -23 0
-7 -11 -19 -23 0
-7 -15 -19 -23 0
-11 -15 -19 -23 0
