p cnf 39 577
-1 -2 -3 -4 0
-1 -2 -3 -5 0
-1 -2 -3 -6 0
-1 -2 -4 -5 0
-1 -2 -4 -6 0
-1 -2 -5 -6 0
-1 -3 -4 -5 0
-1 -3 -4 -6 0
-1 -3 -5 -6 0
-1 -4 -5 -6 0
-2 -3 -4 -5 0
-2 -3 -4 -6 0
-2 -3 -5 -6 0
-2 -4 -5 -6 0
-3 -4 -5 -6 0
1 2 3 4 0
1 2 3 5 0
1 2 3 6 0
1 2 4 5 0
1 2 4 6 0
1 2 5 6 0
1 3 4 5 0
1 3 4 6 0
1 3 5 6 0
1 4 5 6 0
2 3 4 5 0
2 3 4 6 0
2 3 5 6 0
2 4 5 6 0
3 4 5 6 0
-7 -8 -9 0
-7 -8 -10 0
-7 -9 -10 0
-8 -9 -10 0
-7 -8 -9 -10 0
7 8 9 10 0
7 8 9 0
7 8 10 0
7 9 10 0
8 9 10 0
-11 -12 -13 -14 0
-11 -12 -13 -15 0
-11 -12 -13 -16 0
-11 -12 -14 -15 0
-11 -12 -14 -16 0
-11 -12 -15 -16 0
-11 -13 -14 -15 0
-11 -13 -14 -16 0
-11 -13 -15 -16 0
-11 -14 -15 -16 0
-12 -13 -14 -15 0
-12 -13 -14 -16 0
-12 -13 -15 -16 0
-12 -14 -15 -16 0
-13 -14 -15 -16 0
11 12 13 14 0
11 12 13 15 0
11 12 13 16 0
11 12 14 15 0
11 12 14 16 0
11 12 15 16 0
11 13 14 15 0
11 13 14 16 0
11 13 15 16 0
11 14 15 16 0
12 13 14 15 0
12 13 14 16 0
12 13 15 16 0
12 14 15 16 0
13 14 15 16 0
-17 -18 -19 -20 0
-17 -18 -19 -21 0
-17 -18 -19 -22 0
-17 -18 -20 -21 0
-17 -18 -20 -22 0
-17 -18 -21 -22 0
-17 -19 -20 -21 0
-17 -19 -20 -22 0
-17 -19 -21 -22 0
-17 -20 -21 -22 0
-18 -19 -20 -21 0
-18 -19 -20 -22 0
-18 -19 -21 -22 0
-18 -20 -21 -22 0
-19 -20 -21 -22 0
17 18 19 20 0
17 18 19 21 0
17 18 19 22 0
17 18 20 21 0
17 18 20 22 0
17 18 21 22 0
17 19 20 21 0
17 19 20 22 0
17 19 21 22 0
17 20 21 22 0
18 19 20 21 0
18 19 20 22 0
18 19 21 22 0
18 20 21 22 0
19 20 21 22 0
-23 -24 -25 -26 0
-23 -24 -25 -27 0
-23 -24 -25 -28 0
-23 -24 -26 -27 0
-23 -24 -26 -28 0
-23 -24 -27 -28 0
-23 -25 -26 -27 0
-23 -25 -26 -28 0
-23 -25 -27 -28 0
-23 -26 -27 -28 0
-24 -25 -26 -27 0
-24 -25 -26 -28 0
-24 -25 -27 -28 0
-24 -26 -27 -28 0
-25 -26 -27 -28 0
23 24 25 26 0
23 24 25 27 0
23 24 25 28 0
23 24 26 27 0
23 24 26 28 0
23 24 27 28 0
23 25 26 27 0
23 25 26 28 0
23 25 27 28 0
23 26 27 28 0
24 25 26 27 0
24 25 26 28 0
24 25 27 28 0
24 26 27 28 0
25 26 27 28 0
-29 -30 -31 -32 0
-29 -30 -31 -33 0
-29 -30 -31 -34 0
-29 -30 -32 -33 0
-29 -30 -32 -34 0
-29 -30 -33 -34 0
-29 -31 -32 -33 0
-29 -31 -32 -34 0
-29 -31 -33 -34 0
-29 -32 -33 -34 0
-30 -31 -32 -33 0
-30 -31 -32 -34 0
-30 -31 -33 -34 0
-30 -32 -33 -34 0
-31 -32 -33 -34 0
29 30 31 32 0
29 30 31 33 0
29 30 31 34 0
29 30 32 33 0
29 30 32 34 0
29 30 33 34 0
29 31 32 33 0
29 31 32 34 0
29 31 33 34 0
29 32 33 34 0
30 31 32 33 0
30 31 32 34 0
30 31 33 34 0
30 32 33 34 0
31 32 33 34 0
-35 -36 -37 0
-35 -36 -37 -38 0
-35 -36 -37 -39 0
-35 -36 -38 0
-35 -36 -39 0
-35 -36 -38 -39 0
-35 -37 -38 0
-35 -37 -39 0
-35 -37 -38 -39 0
-35 -38 -39 0
-36 -37 -38 0
-36 -37 -39 0
-36 -37 -38 -39 0
-36 -38 -39 0
-37 -38 -39 0
35 36 37 38 0
35 36 37 39 0
35 36 38 39 0
35 37 38 39 0
36 37 38 39 0
-1 -11 -17 0
-1 -11 -17 -23 0
-1 -11 -17 -29 0
-1 -11 -17 -35 0
-1 -11 -23 0
-1 -11 -29 0
-1 -11 -35 0
-1 -11 -23 -29 0
-1 -11 -23 -35 0
-1 -11 -29 -35 0
-1 -17 -23 0
-1 -17 -29 0
-1 -17 -35 0
-1 -17 -23 -29 0
-1 -17 -23 -35 0
-1 -17 -29 -35 0
-1 -23 -29 0
-1 -23 -35 0
-1 -29 -35 0
-1 -23 -29 -35 0
-1 -11 -17 -23 0
-1 -11 -17 -29 0
-1 -11 -17 -35 0
-1 -11 -17 -23 -29 0
-1 -11 -17 -23 -35 0
-1 -11 -17 -29 -35 0
-1 -11 -23 -29 0
-1 -11 -23 -35 0
-1 -11 -29 -35 0
-1 -11 -23 -29 -35 0
-1 -17 -23 -29 0
-1 -17 -23 -35 0
-1 -17 -29 -35 0
-1 -17 -23 -29 -35 0
-1 -23 -29 -35 0
-11 -17 -23 0
-11 -17 -29 0
-11 -17 -35 0
-11 -17 -23 -29 0
-11 -17 -23 -35 0
-11 -17 -29 -35 0
-11 -23 -29 0
-11 -23 -35 0
-11 -29 -35 0
-11 -23 -29 -35 0
-17 -23 -29 0
-17 -23 -35 0
-17 -29 -35 0
-17 -23 -29 -35 0
-23 -29 -35 0
-11 -17 -23 -29 0
-11 -17 -23 -35 0
-11 -17 -29 -35 0
-11 -17 -23 -29 -35 0
-11 -23 -29 -35 0
-17 -23 -29 -35 0
1 11 17 23 29 0
