p cnf 47 867
-1 -2 -3 -4 0
-1 -2 -3 -5 0
-1 -2 -3 -6 0
-1 -2 -4 -5 0
-1 -2 -4 -6 0
-1 -2 -5 -6 0
-1 -3 -4 -5 0
-1 -3 -4 -6 0
-1 -3 -5 -6 0
-1 -4 -5 -6 0
-2 -3 -4 -5 0
-2 -3 -4 -6 0
-2 -3 -5 -6 0
-2 -4 -5 -6 0
-3 -4 -5 -6 0
1 2 3 4 0
1 2 3 5 0
1 2 3 6 0
1 2 4 5 0
1 2 4 6 0
1 2 5 6 0
1 3 4 5 0
1 3 4 6 0
1 3 5 6 0
1 4 5 6 0
2 3 4 5 0
2 3 4 6 0
2 3 5 6 0
2 4 5 6 0
3 4 5 6 0
-7 -8 -9 -10 0
-7 -8 -9 -11 0
-7 -8 -10 -11 0
-7 -9 -10 -11 0
-8 -9 -10 -11 0
7 8 9 10 0
7 8 9 11 0
7 8 9 0
7 8 10 11 0
7 8 10 0
7 8 11 0
7 9 10 11 0
7 9 10 0
7 9 11 0
7 10 11 0
8 9 10 11 0
8 9 10 0
8 9 11 0
8 10 11 0
9 10 11 0
-12 -13 -14 -15 0
-12 -13 -14 -16 0
-12 -13 -14 -17 0
-12 -13 -15 -16 0
-12 -13 -15 -17 0
-12 -13 -16 -17 0
-12 -14 -15 -16 0
-12 -14 -15 -17 0
-12 -14 -16 -17 0
-12 -15 -16 -17 0
-13 -14 -15 -16 0
-13 -14 -15 -17 0
-13 -14 -16 -17 0
-13 -15 -16 -17 0
-14 -15 -16 -17 0
12 13 14 15 0
12 13 14 16 0
12 13 14 17 0
12 13 15 16 0
12 13 15 17 0
12 13 16 17 0
12 14 15 16 0
12 14 15 17 0
12 14 16 17 0
12 15 16 17 0
13 14 15 16 0
13 14 15 17 0
13 14 16 17 0
13 15 16 17 0
14 15 16 17 0
-18 -19 -20 -21 0
-18 -19 -20 -22 0
-18 -19 -20 -23 0
-18 -19 -21 -22 0
-18 -19 -21 -23 0
-18 -19 -22 -23 0
-18 -20 -21 -22 0
-18 -20 -21 -23 0
-18 -20 -22 -23 0
-18 -21 -22 -23 0
-19 -20 -21 -22 0
-19 -20 -21 -23 0
-19 -20 -22 -23 0
-19 -21 -22 -23 0
-20 -21 -22 -23 0
18 19 20 21 0
18 19 20 22 0
18 19 20 23 0
18 19 21 22 0
18 19 21 23 0
18 19 22 23 0
18 20 21 22 0
18 20 21 23 0
18 20 22 23 0
18 21 22 23 0
19 20 21 22 0
19 20 21 23 0
19 20 22 23 0
19 21 22 23 0
20 21 22 23 0
-24 -25 -26 -27 0
-24 -25 -26 -28 0
-24 -25 -26 -29 0
-24 -25 -27 -28 0
-24 -25 -27 -29 0
-24 -25 -28 -29 0
-24 -26 -27 -28 0
-24 -26 -27 -29 0
-24 -26 -28 -29 0
-24 -27 -28 -29 0
-25 -26 -27 -28 0
-25 -26 -27 -29 0
-25 -26 -28 -29 0
-25 -27 -28 -29 0
-26 -27 -28 -29 0
24 25 26 27 0
24 25 26 28 0
24 25 26 29 0
24 25 27 28 0
24 25 27 29 0
24 25 28 29 0
24 26 27 28 0
24 26 27 29 0
24 26 28 29 0
24 27 28 29 0
25 26 27 28 0
25 26 27 29 0
25 26 28 29 0
25 27 28 29 0
26 27 28 29 0
-30 -31 -32 -33 0
-30 -31 -32 -34 0
-30 -31 -32 -35 0
-30 -31 -33 -34 0
-30 -31 -33 -35 0
-30 -31 -34 -35 0
-30 -32 -33 -34 0
-30 -32 -33 -35 0
-30 -32 -34 -35 0
-30 -33 -34 -35 0
-31 -32 -33 -34 0
-31 -32 -33 -35 0
-31 -32 -34 -35 0
-31 -33 -34 -35 0
-32 -33 -34 -35 0
30 31 32 33 0
30 31 32 34 0
30 31 32 35 0
30 31 33 34 0
30 31 33 35 0
30 31 34 35 0
30 32 33 34 0
30 32 33 35 0
30 32 34 35 0
30 33 34 35 0
31 32 33 34 0
31 32 33 35 0
31 32 34 35 0
31 33 34 35 0
32 33 34 35 0
-36 -37 -38 -39 0
-36 -37 -38 -40 0
-36 -37 -38 -41 0
-36 -37 -39 -40 0
-36 -37 -39 -41 0
-36 -37 -40 -41 0
-36 -38 -39 -40 0
-36 -38 -39 -41 0
-36 -38 -40 -41 0
-36 -39 -40 -41 0
-37 -38 -39 -40 0
-37 -38 -39 -41 0
-37 -38 -40 -41 0
-37 -39 -40 -41 0
-38 -39 -40 -41 0
36 37 38 39 0
36 37 38 40 0
36 37 38 41 0
36 37 39 40 0
36 37 39 41 0
36 37 40 41 0
36 38 39 40 0
36 38 39 41 0
36 38 40 41 0
36 39 40 41 0
37 38 39 40 0
37 38 39 41 0
37 38 40 41 0
37 39 40 41 0
38 39 40 41 0
-42 -43 -44 -45 0
-42 -43 -44 -46 0
-42 -43 -44 -47 0
-42 -43 -45 -46 0
-42 -43 -45 -47 0
-42 -43 -46 -47 0
-42 -44 -45 -46 0
-42 -44 -45 -47 0
-42 -44 -46 -47 0
-42 -45 -46 -47 0
-43 -44 -45 -46 0
-43 -44 -45 -47 0
-43 -44 -46 -47 0
-43 -45 -46 -47 0
-44 -45 -46 -47 0
42 43 44 45 0
42 43 44 46 0
42 43 44 47 0
42 43 45 46 0
42 43 45 47 0
42 43 46 47 0
42 44 45 46 0
42 44 45 47 0
42 44 46 47 0
42 45 46 47 0
43 44 45 46 0
43 44 45 47 0
43 44 46 47 0
43 45 46 47 0
44 45 46 47 0
-1 -7 -12 -18 -24 0
-1 -7 -12 -18 -30 0
-1 -7 -12 -18 -36 0
-1 -7 -12 -18 -42 0
-1 -7 -12 -24 -30 0
-1 -7 -12 -24 -36 0
-1 -7 -12 -24 -42 0
-1 -7 -12 -30 -36 0
-1 -7 -12 -30 -42 0
