p cnf 54 586
1 2 3 4 0
1 2 3 4 5 0
1 2 3 5 0
1 2 4 5 0
1 3 4 5 0
2 3 4 5 0
6 7 8 9 10 0
6 7 8 9 11 0
6 7 8 9 12 0
6 7 8 9 13 0
6 7 8 10 11 0
6 7 8 10 12 0
6 7 8 10 13 0
6 7 8 11 12 0
6 7 8 11 13 0
6 7 8 12 13 0
6 7 9 10 11 0
6 7 9 10 12 0
6 7 9 10 13 0
6 7 9 11 12 0
6 7 9 11 13 0
6 7 9 12 13 0
6 7 10 11 12 0
6 7 10 11 13 0
6 7 10 12 13 0
6 7 11 12 13 0
6 8 9 10 11 0
6 8 9 10 12 0
6 8 9 10 13 0
6 8 9 11 12 0
6 8 9 11 13 0
6 8 9 12 13 0
6 8 10 11 12 0
6 8 10 11 13 0
6 8 10 12 13 0
6 8 11 12 13 0
6 9 10 11 12 0
6 9 10 11 13 0
6 9 10 12 13 0
6 9 11 12 13 0
6 10 11 12 13 0
7 8 9 10 11 0
7 8 9 10 12 0
7 8 9 10 13 0
7 8 9 11 12 0
7 8 9 11 13 0
7 8 9 12 13 0
7 8 10 11 12 0
7 8 10 11 13 0
7 8 10 12 13 0
7 8 11 12 13 0
7 9 10 11 12 0
7 9 10 11 13 0
7 9 10 12 13 0
7 9 11 12 13 0
7 10 11 12 13 0
8 9 10 11 12 0
8 9 10 11 13 0
8 9 10 12 13 0
8 9 11 12 13 0
8 10 11 12 13 0
9 10 11 12 13 0
14 15 16 17 18 0
14 15 16 17 19 0
14 15 16 17 20 0
14 15 16 18 19 0
14 15 16 18 20 0
14 15 16 19 20 0
14 15 17 18 19 0
14 15 17 18 20 0
14 15 17 19 20 0
14 15 18 19 20 0
14 16 17 18 19 0
14 16 17 18 20 0
14 16 17 19 20 0
14 16 18 19 20 0
14 17 18 19 20 0
15 16 17 18 19 0
15 16 17 18 20 0
15 16 17 19 20 0
15 16 18 19 20 0
15 17 18 19 20 0
16 17 18 19 20 0
21 22 23 24 25 0
21 22 23 24 26 0
21 22 23 25 26 0
21 22 24 25 26 0
21 23 24 25 26 0
22 23 24 25 26 0
27 28 29 30 31 0
27 28 29 30 32 0
27 28 29 30 33 0
27 28 29 31 32 0
27 28 29 31 33 0
27 28 29 32 33 0
27 28 30 31 32 0
27 28 30 31 33 0
27 28 30 32 33 0
27 28 31 32 33 0
27 29 30 31 32 0
