p cnf 14 60
1 2 3 4 0
1 2 -3 -4 0
1 -2 3 -4 0
1 -2 -3 4 0
-1 2 3 -4 0
-1 2 -3 4 0
-1 -2 3 4 0
-1 -2 -3 -4 0
1 5 0
-1 -5 0
6 -7 0
-6 7 0
6 8 -9 0
6 -8 9 0
-6 8 9 0
-6 -8 -9 0
8 10 11 0
8 -10 -11 0
-8 10 -11 0
-8 -10 11 0
2 7 12 -13 0
2 7 -12 13 0
2 -7 12 13 0
2 -7 -12 -13 0
-2 7 12 13 0
-2 7 -12 -13 0
-2 -7 12 -13 0
-2 -7 -12 13 0
3 5 10 12 14 0
3 5 10 -12 -14 0
3 5 -10 12 -14 0
3 5 -10 -12 14 0
3 -5 10 12 -14 0
3 -5 10 -12 14 0
3 -5 -10 12 14 0
3 -5 -10 -12 -14 0
-3 5 10 12 -14 0
-3 5 10 -12 14 0
-3 5 -10 12 14 0
-3 5 -10 -12 -14 0
-3 -5 10 12 14 0
-3 -5 10 -12 -14 0
-3 -5 -10 12 -14 0
-3 -5 -10 -12 14 0
4 9 11 13 -14 0
4 9 11 -13 14 0
4 9 -11 13 14 0
4 9 -11 -13 -14 0
4 -9 11 13 14 0
4 -9 11 -13 -14 0
4 -9 -11 13 -14 0
4 -9 -11 -13 14 0
-4 9 11 13 14 0
-4 9 11 -13 -14 0
-4 9 -11 13 -14 0
-4 9 -11 -13 14 0
-4 -9 11 13 -14 0
-4 -9 11 -13 14 0
-4 -9 -11 13 14 0
-4 -9 -11 -13 -14 0
