p cnf 19 124
1 2 3 -4 0
1 2 -3 4 0
1 -2 3 4 0
1 -2 -3 -4 0
-1 2 3 4 0
-1 2 -3 -4 0
-1 -2 3 -4 0
-1 -2 -3 4 0
1 5 6 7 0
1 5 -6 -7 0
1 -5 6 -7 0
1 -5 -6 7 0
-1 5 6 -7 0
-1 5 -6 7 0
-1 -5 6 7 0
-1 -5 -6 -7 0
8 -9 0
-8 9 0
2 5 10 11 12 0
2 5 10 -11 -12 0
2 5 -10 11 -12 0
2 5 -10 -11 12 0
2 -5 10 11 -12 0
2 -5 10 -11 12 0
2 -5 -10 11 12 0
2 -5 -10 -11 -12 0
-2 5 10 11 -12 0
-2 5 10 -11 12 0
-2 5 -10 11 12 0
-2 5 -10 -11 -12 0
-2 -5 10 11 12 0
-2 -5 10 -11 -12 0
-2 -5 -10 11 -12 0
-2 -5 -10 -11 12 0
13 -14 0
-13 14 0
10 13 15 -16 0
10 13 -15 16 0
10 -13 15 16 0
10 -13 -15 -16 0
-10 13 15 16 0
-10 13 -15 -16 0
-10 -13 15 -16 0
-10 -13 -15 16 0
3 6 8 17 18 0
3 6 8 -17 -18 0
3 6 -8 17 -18 0
3 6 -8 -17 18 0
3 -6 8 17 -18 0
3 -6 8 -17 18 0
3 -6 -8 17 18 0
3 -6 -8 -17 -18 0
-3 6 8 17 -18 0
-3 6 8 -17 18 0
-3 6 -8 17 18 0
-3 6 -8 -17 -18 0
-3 -6 8 17 18 0
-3 -6 8 -17 -18 0
-3 -6 -8 17 -18 0
-3 -6 -8 -17 18 0
9 11 14 15 17 -19 0
9 11 14 15 -17 19 0
9 11 14 -15 17 19 0
9 11 14 -15 -17 -19 0
9 11 -14 15 17 19 0
9 11 -14 15 -17 -19 0
9 11 -14 -15 17 -19 0
9 11 -14 -15 -17 19 0
9 -11 14 15 17 19 0
9 -11 14 15 -17 -19 0
9 -11 14 -15 17 -19 0
9 -11 14 -15 -17 19 0
9 -11 -14 15 17 -19 0
9 -11 -14 15 -17 19 0
9 -11 -14 -15 17 19 0
9 -11 -14 -15 -17 -19 0
-9 11 14 15 17 19 0
-9 11 14 15 -17 -19 0
-9 11 14 -15 17 -19 0
-9 11 14 -15 -17 19 0
-9 11 -14 15 17 -19 0
-9 11 -14 15 -17 19 0
-9 11 -14 -15 17 19 0
-9 11 -14 -15 -17 -19 0
-9 -11 14 15 17 -19 0
-9 -11 14 15 -17 19 0
-9 -11 14 -15 17 19 0
-9 -11 14 -15 -17 -19 0
-9 -11 -14 15 17 19 0
-9 -11 -14 15 -17 -19 0
-9 -11 -14 -15 17 -19 0
-9 -11 -14 -15 -17 19 0
4 7 12 16 18 19 0
4 7 12 16 -18 -19 0
4 7 12 -16 18 -19 0
4 7 12 -16 -18 19 0
4 7 -12 16 18 -19 0
4 7 -12 16 -18 19 0
4 7 -12 -16 18 19 0
4 7 -12 -16 -18 -19 0
4 -7 12 16 18 -19 0
4 -7 12 16 -18 19 0
4 -7 12 -16 18 19 0
4 -7 12 -16 -18 -19 0
4 -7 -12 16 18 19 0
4 -7 -12 16 -18 -19 0
4 -7 -12 -16 18 -19 0
4 -7 -12 -16 -18 19 0
-4 7 12 16 18 -19 0
-4 7 12 16 -18 19 0
-4 7 12 -16 18 19 0
-4 7 12 -16 -18 -19 0
-4 7 -12 16 18 19 0
-4 7 -12 16 -18 -19 0
-4 7 -12 -16 18 -19 0
-4 7 -12 -16 -18 19 0
-4 -7 12 16 18 19 0
-4 -7 12 16 -18 -19 0
-4 -7 12 -16 18 -19 0
-4 -7 12 -16 -18 19 0
-4 -7 -12 16 18 -19 0
-4 -7 -12 16 -18 19 0
-4 -7 -12 -16 18 19 0
-4 -7 -12 -16 -18 -19 0
