p cnf 20 140
1 2 3 4 -5 0
1 2 3 -4 5 0
1 2 -3 4 5 0
1 2 -3 -4 -5 0
1 -2 3 4 5 0
1 -2 3 -4 -5 0
1 -2 -3 4 -5 0
1 -2 -3 -4 5 0
-1 2 3 4 5 0
-1 2 3 -4 -5 0
-1 2 -3 4 -5 0
-1 2 -3 -4 5 0
-1 -2 3 4 -5 0
-1 -2 3 -4 5 0
-1 -2 -3 4 5 0
-1 -2 -3 -4 -5 0
1 6 7 8 0
1 6 -7 -8 0
1 -6 7 -8 0
1 -6 -7 8 0
-1 6 7 -8 0
-1 6 -7 8 0
-1 -6 7 8 0
-1 -6 -7 -8 0
9 -10 0
-9 10 0
2 6 11 12 13 0
2 6 11 -12 -13 0
2 6 -11 12 -13 0
2 6 -11 -12 13 0
2 -6 11 12 -13 0
2 -6 11 -12 13 0
2 -6 -11 12 13 0
2 -6 -11 -12 -13 0
-2 6 11 12 -13 0
-2 6 11 -12 13 0
-2 6 -11 12 13 0
-2 6 -11 -12 -13 0
-2 -6 11 12 13 0
-2 -6 11 -12 -13 0
-2 -6 -11 12 -13 0
-2 -6 -11 -12 13 0
14 -15 0
-14 15 0
3 11 14 16 -17 0
3 11 14 -16 17 0
3 11 -14 16 17 0
3 11 -14 -16 -17 0
3 -11 14 16 17 0
3 -11 14 -16 -17 0
3 -11 -14 16 -17 0
3 -11 -14 -16 17 0
-3 11 14 16 17 0
-3 11 14 -16 -17 0
-3 11 -14 16 -17 0
-3 11 -14 -16 17 0
-3 -11 14 16 -17 0
-3 -11 14 -16 17 0
-3 -11 -14 16 17 0
-3 -11 -14 -16 -17 0
4 7 9 18 19 0
4 7 9 -18 -19 0
4 7 -9 18 -19 0
4 7 -9 -18 19 0
4 -7 9 18 -19 0
4 -7 9 -18 19 0
4 -7 -9 18 19 0
4 -7 -9 -18 -19 0
-4 7 9 18 -19 0
-4 7 9 -18 19 0
-4 7 -9 18 19 0
-4 7 -9 -18 -19 0
-4 -7 9 18 19 0
-4 -7 9 -18 -19 0
-4 -7 -9 18 -19 0
-4 -7 -9 -18 19 0
10 12 15 16 18 -20 0
10 12 15 16 -18 20 0
10 12 15 -16 18 20 0
10 12 15 -16 -18 -20 0
10 12 -15 16 18 20 0
10 12 -15 16 -18 -20 0
10 12 -15 -16 18 -20 0
10 12 -15 -16 -18 20 0
10 -12 15 16 18 20 0
10 -12 15 16 -18 -20 0
10 -12 15 -16 18 -20 0
10 -12 15 -16 -18 20 0
10 -12 -15 16 18 -20 0
10 -12 -15 16 -18 20 0
10 -12 -15 -16 18 20 0
10 -12 -15 -16 -18 -20 0
-10 12 15 16 18 20 0
-10 12 15 16 -18 -20 0
-10 12 15 -16 18 -20 0
-10 12 15 -16 -18 20 0
-10 12 -15 16 18 -20 0
-10 12 -15 16 -18 20 0
-10 12 -15 -16 18 20 0
-10 12 -15 -16 -18 -20 0
-10 -12 15 16 18 -20 0
-10 -12 15 16 -18 20 0
-10 -12 15 -16 18 20 0
-10 -12 15 -16 -18 -20 0
-10 -12 -15 16 18 20 0
-10 -12 -15 16 -18 -20 0
-10 -12 -15 -16 18 -20 0
-10 -12 -15 -16 -18 20 0
5 8 13 17 19 20 0
5 8 13 17 -19 -20 0
5 8 13 -17 19 -20 0
5 8 13 -17 -19 20 0
5 8 -13 17 19 -20 0
5 8 -13 17 -19 20 0
5 8 -13 -17 19 20 0
5 8 -13 -17 -19 -20 0
5 -8 13 17 19 -20 0
5 -8 13 17 -19 20 0
5 -8 13 -17 19 20 0
5 -8 13 -17 -19 -20 0
5 -8 -13 17 19 20 0
5 -8 -13 17 -19 -20 0
5 -8 -13 -17 19 -20 0
5 -8 -13 -17 -19 20 0
-5 8 13 17 19 -20 0
-5 8 13 17 -19 20 0
-5 8 13 -17 19 20 0
-5 8 13 -17 -19 -20 0
-5 8 -13 17 19 20 0
-5 8 -13 17 -19 -20 0
-5 8 -13 -17 19 -20 0
-5 8 -13 -17 -19 20 0
-5 -8 13 17 19 20 0
-5 -8 13 17 -19 -20 0
-5 -8 13 -17 19 -20 0
-5 -8 13 -17 -19 20 0
-5 -8 -13 17 19 -20 0
-5 -8 -13 17 -19 20 0
-5 -8 -13 -17 19 20 0
-5 -8 -13 -17 -19 -20 0
