p cnf 82 665
19 27 35 44 65 74 0
20 28 36 45 54 60 75 0
2 11 46 76 0
3 12 38 47 0
4 13 29 48 55 78 0
5 14 22 30 39 56 70 79 0
15 23 31 40 49 71 80 0
16 32 72 0
8 51 57 63 82 0
9 18 26 43 52 58 73 0
-1 -11 2 0
-1 -12 3 0
-1 -13 4 0
-1 -14 5 0
-1 -15 6 0
-1 -16 7 0
-1 -17 8 0
-1 -18 9 0
-2 -20 1 0
-2 -21 4 0
-2 -22 5 0
-2 -23 6 0
-2 -24 7 0
-2 -25 8 0
-2 -26 9 0
-3 -28 1 0
-3 2 0
-3 -29 4 0
-3 -30 5 0
-3 -31 6 0
-3 -32 7 0
-3 -33 8 0
-3 -34 9 0
-4 -36 1 0
-4 -37 2 0
-4 -38 3 0
-4 -39 5 0
-4 -40 6 0
-4 -41 7 0
-4 -42 8 0
-4 -43 9 0
-5 -45 1 0
-5 -46 2 0
-5 -47 3 0
-5 -48 4 0
-5 -49 6 0
-5 -50 7 0
-5 -51 8 0
-5 -52 9 0
-6 -54 1 0
-6 -55 4 0
-6 -56 5 0
-6 7 0
-6 -57 8 0
-6 -58 9 0
-7 -60 1 0
-7 -61 4 0
-7 -62 5 0
-7 -63 8 0
-7 -64 9 0
-8 -66 1 0
-8 -67 2 0
-8 -68 3 0
-8 -69 4 0
-8 -70 5 0
-8 -71 6 0
-8 -72 7 0
-8 -73 9 0
-9 -75 1 0
-9 -76 2 0
-9 -77 3 0
-9 -78 4 0
-9 -79 5 0
-9 -80 6 0
-9 -81 7 0
-9 -82 8 0
-10 -2 11 0
-10 -3 12 0
-10 -4 13 0
-10 -5 14 0
-10 -6 15 0
-10 -7 16 0
-10 -8 17 0
-10 -9 18 0
-11 -19 10 0
-11 -21 13 0
-11 -22 14 0
-11 -23 15 0
-11 -24 16 0
-11 -25 17 0
-11 -26 18 0
-12 -27 10 0
-12 11 0
-12 -29 13 0
-12 -30 14 0
-12 -31 15 0
-12 -32 16 0
-12 -33 17 0
-12 -34 18 0
-13 -35 10 0
-13 -37 11 0
-13 -38 12 0
-13 -39 14 0
-13 -40 15 0
-13 -41 16 0
-13 -42 17 0
-13 -43 18 0
-14 -44 10 0
-14 -46 11 0
-14 -47 12 0
-14 -48 13 0
-14 -49 15 0
-14 -50 16 0
-14 -51 17 0
-14 -52 18 0
-15 -53 10 0
-15 -55 13 0
-15 -56 14 0
-15 16 0
-15 -57 17 0
-15 -58 18 0
-16 -59 10 0
-16 -61 13 0
-16 -62 14 0
-16 -63 17 0
-16 -64 18 0
-17 -65 10 0
-17 -67 11 0
-17 -68 12 0
-17 -69 13 0
-17 -70 14 0
-17 -71 15 0
-17 -72 16 0
-17 -73 18 0
-18 -74 10 0
-18 -76 11 0
-18 -77 12 0
-18 -78 13 0
-18 -79 14 0
-18 -80 15 0
-18 -81 16 0
-18 -82 17 0
-19 -1 20 0
-19 -3 0
-19 -4 21 0
-19 -5 22 0
-19 -6 23 0
-19 -7 24 0
-19 -8 25 0
-19 -9 26 0
-20 -10 19 0
-20 -12 0
-20 -13 21 0
-20 -14 22 0
-20 -15 23 0
-20 -16 24 0
-20 -17 25 0
-20 -18 26 0
-21 -35 19 0
-21 -36 20 0
-21 -38 0
-21 -39 22 0
-21 -40 23 0
-21 -41 24 0
