p cnf 87 733
28 36 45 70 0
37 71 0
38 56 64 72 0
3 39 73 0
4 13 22 31 66 74 0
5 75 0
24 67 76 85 0
25 42 59 77 0
8 17 26 34 43 52 60 68 87 0
61 78 0
-1 -11 2 0
-1 -12 3 0
-1 -13 4 0
-1 -14 5 0
-1 -15 6 0
-1 -16 7 0
-1 -17 8 0
-1 -18 9 0
-2 -20 1 0
-2 -21 3 0
-2 -22 4 0
-2 -23 5 0
-2 -24 6 0
-2 -25 7 0
-2 -26 8 0
-2 -27 9 0
-3 -29 1 0
-3 -30 2 0
-3 -31 4 0
-3 -32 5 0
-3 -33 7 0
-3 -34 8 0
-3 -35 9 0
-4 -37 1 0
-4 -38 2 0
-4 -39 3 0
-4 -40 5 0
-4 -41 6 0
-4 -42 7 0
-4 -43 8 0
-4 -44 9 0
-5 -46 1 0
-5 -47 2 0
-5 -48 3 0
-5 -49 4 0
-5 -50 6 0
-5 -51 7 0
-5 -52 8 0
-5 -53 9 0
-6 -55 1 0
-6 -56 2 0
-6 3 0
-6 -57 4 0
-6 -58 5 0
-6 -59 7 0
-6 -60 8 0
-6 -61 9 0
-7 -63 1 0
-7 -64 2 0
-7 -65 3 0
-7 -66 4 0
-7 -67 6 0
-7 -68 8 0
-7 -69 9 0
-8 -71 1 0
-8 -72 2 0
-8 -73 3 0
-8 -74 4 0
-8 -75 5 0
-8 -76 6 0
-8 -77 7 0
-8 -78 9 0
-9 -80 1 0
-9 -81 2 0
-9 -82 3 0
-9 -83 4 0
-9 -84 5 0
-9 -85 6 0
-9 -86 7 0
-9 -87 8 0
-10 -2 11 0
-10 -3 12 0
-10 -4 13 0
-10 -5 14 0
-10 -6 15 0
-10 -7 16 0
-10 -8 17 0
-10 -9 18 0
-11 -19 10 0
-11 -21 12 0
-11 -22 13 0
-11 -23 14 0
-11 -24 15 0
-11 -25 16 0
-11 -26 17 0
-11 -27 18 0
-12 -28 10 0
-12 -30 11 0
-12 -31 13 0
-12 -32 14 0
-12 -33 16 0
-12 -34 17 0
-12 -35 18 0
-13 -36 10 0
-13 -38 11 0
-13 -39 12 0
-13 -40 14 0
-13 -41 15 0
-13 -42 16 0
-13 -43 17 0
-13 -44 18 0
-14 -45 10 0
-14 -47 11 0
-14 -48 12 0
-14 -49 13 0
-14 -50 15 0
-14 -51 16 0
-14 -52 17 0
-14 -53 18 0
-15 -54 10 0
-15 -56 11 0
-15 12 0
-15 -57 13 0
-15 -58 14 0
-15 -59 16 0
-15 -60 17 0
-15 -61 18 0
-16 -62 10 0
-16 -64 11 0
-16 -65 12 0
-16 -66 13 0
-16 -67 15 0
-16 -68 17 0
-16 -69 18 0
-17 -70 10 0
-17 -72 11 0
-17 -73 12 0
-17 -74 13 0
-17 -75 14 0
-17 -76 15 0
-17 -77 16 0
-17 -78 18 0
-18 -79 10 0
-18 -81 11 0
-18 -82 12 0
-18 -83 13 0
-18 -84 14 0
-18 -85 15 0
-18 -86 16 0
-18 -87 17 0
-19 -1 20 0
-19 -3 21 0
-19 -4 22 0
-19 -5 23 0
-19 -6 24 0
-19 -7 25 0
-19 -8 26 0
-19 -9 27 0
-20 -10 19 0
-20 -12 21 0
-20 -13 22 0
-20 -14 23 0
-20 -15 24 0
-20 -16 25 0
-20 -17 26 0
-20 -18 27 0
-21 -28 19 0
-21 -29 20 0
-21 -31 22 0
-21 -32 23 0
-21 -33 25 0
-21 -34 26 0
-21 -35 27 0
-22 -36 19 0
-22 -37 20 0
-22 -39 21 0
-22 -40 23 0
-22 -41 24 0
-22 -42 25 0
-22 -43 26 0
-22 -44 27 0
-23 -45 19 0
-23 -46 20 0
-23 -48 21 0
-23 -49 22 0
-23 -50 24 0
-23 -51 25 0
-23 -52 26 0
-23 -53 27 0
-24 -54 19 0
-24 -55 20 0
-24 21 0
-24 -57 22 0
-24 -58 23 0
-24 -59 25 0
-24 -60 26 0
-24 -61 27 0
-25 -62 19 0
-25 -63 20 0
-25 -65 21 0
-25 -66 22 0
-25 -67 24 0
-25 -68 26 0
-25 -69 27 0
-26 -70 19 0
-26 -71 20 0
-26 -73 21 0
-26 -74 22 0
-26 -75 23 0
-26 -76 24 0
-26 -77 25 0
-26 -78 27 0
-27 -79 19 0
-27 -80 20 0
-27 -82 21 0
-27 -83 22 0
-27 -84 23 0
-27 -85 24 0
-27 -86 25 0
-27 -87 26 0
-28 -1 29 0
-28 -2 30 0
-28 -4 31 0
-28 -5 32 0
-28 -6 0
-28 -7 33 0
-28 -8 34 0
-28 -9 35 0
-29 -10 28 0
-29 -11 30 0
-29 -13 31 0
-29 -14 32 0
-29 -15 0
-29 -16 33 0
-29 -17 34 0
-29 -18 35 0
-30 -19 28 0
-30 -20 29 0
-30 -22 31 0
-30 -23 32 0
-30 -24 0
-30 -25 33 0
-30 -26 34 0
-30 -27 35 0
-31 -36 28 0
-31 -37 29 0
-31 -38 30 0
-31 -40 32 0
-31 -41 0
-31 -42 33 0
-31 -43 34 0
-31 -44 35 0
-32 -45 28 0
