p cnf 29 192
1 2 3 4 0
1 2 3 5 0
1 2 3 6 0
1 2 4 5 0
1 2 4 6 0
1 2 5 6 0
1 3 4 5 0
1 3 4 6 0
1 3 5 6 0
1 4 5 6 0
2 3 4 5 0
2 3 4 6 0
2 3 5 6 0
2 4 5 6 0
3 4 5 6 0
7 8 9 10 0
7 8 9 11 0
7 8 9 12 0
7 8 9 13 0
7 8 10 11 0
7 8 10 12 0
7 8 10 13 0
7 8 11 12 0
7 8 11 13 0
7 8 12 13 0
7 9 10 11 0
7 9 10 12 0
7 9 10 13 0
7 9 11 12 0
7 9 11 13 0
7 9 12 13 0
7 10 11 12 0
7 10 11 13 0
7 10 12 13 0
7 11 12 13 0
8 9 10 11 0
8 9 10 12 0
8 9 10 13 0
8 9 11 12 0
8 9 11 13 0
8 9 12 13 0
8 10 11 12 0
8 10 11 13 0
8 10 12 13 0
8 11 12 13 0
9 10 11 12 0
9 10 11 13 0
9 10 12 13 0
9 11 12 13 0
10 11 12 13 0
14 15 16 17 18 0
14 15 16 17 19 0
14 15 16 17 20 0
14 15 16 17 21 0
14 15 16 18 19 0
14 15 16 18 20 0
14 15 16 18 21 0
14 15 16 19 20 0
14 15 16 19 21 0
14 15 16 20 21 0
14 15 17 18 19 0
14 15 17 18 20 0
14 15 17 18 21 0
14 15 17 19 20 0
14 15 17 19 21 0
14 15 17 20 21 0
14 15 18 19 20 0
14 15 18 19 21 0
14 15 18 20 21 0
14 15 19 20 21 0
14 16 17 18 19 0
14 16 17 18 20 0
14 16 17 18 21 0
14 16 17 19 20 0
14 16 17 19 21 0
14 16 17 20 21 0
14 16 18 19 20 0
14 16 18 19 21 0
14 16 18 20 21 0
14 16 19 20 21 0
14 17 18 19 20 0
14 17 18 19 21 0
14 17 18 20 21 0
14 17 19 20 21 0
14 18 19 20 21 0
15 16 17 18 19 0
15 16 17 18 20 0
15 16 17 18 21 0
15 16 17 19 20 0
15 16 17 19 21 0
15 16 17 20 21 0
15 16 18 19 20 0
15 16 18 19 21 0
15 16 18 20 21 0
15 16 19 20 21 0
15 17 18 19 20 0
15 17 18 19 21 0
15 17 18 20 21 0
15 17 19 20 21 0
15 18 19 20 21 0
16 17 18 19 20 0
16 17 18 19 21 0
16 17 18 20 21 0
16 17 19 20 21 0
16 18 19 20 21 0
17 18 19 20 21 0
22 23 24 25 26 0
22 23 24 25 27 0
22 23 24 25 28 0
22 23 24 25 29 0
22 23 24 26 27 0
22 23 24 26 28 0
22 23 24 26 29 0
22 23 24 27 28 0
22 23 24 27 29 0
22 23 24 28 29 0
22 23 25 26 27 0
22 23 25 26 28 0
22 23 25 26 29 0
22 23 25 27 28 0
22 23 25 27 29 0
22 23 25 28 29 0
22 23 26 27 28 0
22 23 26 27 29 0
22 23 26 28 29 0
22 23 27 28 29 0
22 24 25 26 27 0
22 24 25 26 28 0
22 24 25 26 29 0
22 24 25 27 28 0
22 24 25 27 29 0
22 24 25 28 29 0
22 24 26 27 28 0
22 24 26 27 29 0
22 24 26 28 29 0
22 24 27 28 29 0
22 25 26 27 28 0
22 25 26 27 29 0
22 25 26 28 29 0
22 25 27 28 29 0
22 26 27 28 29 0
23 24 25 26 27 0
23 24 25 26 28 0
23 24 25 26 29 0
23 24 25 27 28 0
23 24 25 27 29 0
23 24 25 28 29 0
23 24 26 27 28 0
23 24 26 27 29 0
23 24 26 28 29 0
23 24 27 28 29 0
23 25 26 27 28 0
23 25 26 27 29 0
23 25 26 28 29 0
23 25 27 28 29 0
23 26 27 28 29 0
24 25 26 27 28 0
24 25 26 27 29 0
24 25 26 28 29 0
24 25 27 28 29 0
24 26 27 28 29 0
25 26 27 28 29 0
-1 -7 -14 0
-1 -7 -22 0
-1 -14 -22 0
-7 -14 -22 0
-2 -15 0
-2 -23 0
-15 -23 0
-8 -16 0
-8 -24 0
-16 -24 0
-3 -9 -17 0
-3 -9 -25 0
-3 -17 -25 0
-9 -17 -25 0
-4 -10 -18 0
-4 -10 -26 0
-4 -18 -26 0
-10 -18 -26 0
-5 -11 -19 0
-5 -11 -27 0
-5 -19 -27 0
-11 -19 -27 0
-6 -12 -20 0
-6 -12 -28 0
-6 -20 -28 0
-12 -20 -28 0
-13 -21 0
-13 -29 0
-21 -29 0
-13 -21 -29 0
