p cnf 13 54
1 2 3 0
1 -2 -3 0
-1 2 -3 0
-1 -2 3 0
4 -5 0
-4 5 0
6 -7 0
-6 7 0
8 9 -10 0
8 -9 10 0
-8 9 10 0
-8 -9 -10 0
8 -11 0
-8 11 0
1 9 11 12 0
1 9 -11 -12 0
1 -9 11 -12 0
1 -9 -11 12 0
-1 9 11 -12 0
-1 9 -11 12 0
-1 -9 11 12 0
-1 -9 -11 -12 0
2 4 6 12 -13 0
2 4 6 -12 13 0
2 4 -6 12 13 0
2 4 -6 -12 -13 0
2 -4 6 12 13 0
2 -4 6 -12 -13 0
2 -4 -6 12 -13 0
2 -4 -6 -12 13 0
-2 4 6 12 13 0
-2 4 6 -12 -13 0
-2 4 -6 12 -13 0
-2 4 -6 -12 13 0
-2 -4 6 12 -13 0
-2 -4 6 -12 13 0
-2 -4 -6 12 13 0
-2 -4 -6 -12 -13 0
3 5 7 10 13 0
3 5 7 -10 -13 0
3 5 -7 10 -13 0
3 5 -7 -10 13 0
3 -5 7 10 -13 0
3 -5 7 -10 13 0
3 -5 -7 10 13 0
3 -5 -7 -10 -13 0
-3 5 7 10 -13 0
-3 5 7 -10 13 0
-3 5 -7 10 13 0
-3 5 -7 -10 -13 0
-3 -5 7 10 13 0
-3 -5 7 -10 -13 0
-3 -5 -7 10 -13 0
-3 -5 -7 -10 13 0
