p cnf 96 377
-25 60 65 0
-50 -85 0
-41 86 89 0
32 -55 -70 0
-70 85 -90 0
-27 -34 -50 0
12 -69 87 0
13 -17 62 0
-71 83 90 0
13 46 -76 0
-7 -74 -80 0
46 -51 62 0
4 45 -65 0
9 -56 73 0
-26 -67 0
3 71 -79 0
13 -32 59 0
-4 -56 -86 0
75 -89 0
8 14 -57 0
46 52 82 0
-51 -59 -78 0
15 -31 85 0
-1 -81 -82 0
-31 90 -93 0
10 -68 76 0
18 -33 43 0
59 67 -96 0
10 24 49 0
12 35 -73 0
5 -34 -50 0
9 37 47 0
-29 -76 88 0
3 -20 -51 0
-2 4 -68 0
-22 -28 49 0
18 52 -86 0
-2 14 0
-6 15 -17 0
29 -33 -85 0
23 -70 -72 0
8 -43 -72 0
-13 -15 -94 0
2 -25 -63 0
-11 -68 -77 0
42 79 86 0
-6 -59 -66 0
51 53 67 0
36 -59 -60 0
-20 -67 80 0
-24 40 58 0
-27 66 96 0
-14 36 -50 0
-7 20 -88 0
-23 50 -68 0
-32 67 -84 0
1 11 -39 0
10 -20 65 0
5 58 69 0
-1 -22 -74 0
-2 70 -80 0
10 16 95 0
-23 -42 -72 0
-59 78 0
-1 93 95 0
-8 -11 -39 0
-10 34 35 0
14 76 -77 0
7 16 71 0
43 -71 92 0
-4 7 21 0
-13 64 -72 0
-19 -40 42 0
25 88 89 0
69 -70 -84 0
6 -36 90 0
7 62 -88 0
50 58 -71 0
30 -37 -89 0
-11 25 -62 0
5 17 26 0
5 -36 -63 0
53 -82 89 0
7 23 -69 0
49 77 -90 0
-52 65 90 0
6 -75 84 0
-3 -37 -91 0
38 -41 -96 0
24 27 36 0
12 30 55 0
-21 79 89 0
-11 -42 -61 0
3 17 67 0
-36 68 78 0
-21 -42 48 0
5 27 37 0
-52 81 -95 0
66 -67 -85 0
19 22 -81 0
-66 -68 0
8 37 -63 0
13 75 -89 0
-10 23 60 0
24 55 -72 0
29 -57 61 0
-14 30 -71 0
-43 66 -86 0
7 26 59 0
47 -78 86 0
-60 83 -96 0
-8 -18 -94 0
-11 37 -45 0
13 34 63 0
-19 75 -80 0
10 71 87 0
7 -34 64 0
-24 -29 84 0
11 -24 93 0
-16 26 68 0
46 -70 0
26 -43 77 0
33 42 71 0
-50 -72 78 0
24 -31 -40 0
-51 53 -67 0
-45 -82 88 0
-3 52 -89 0
-16 -26 37 0
75 -87 -89 0
17 -24 53 0
-28 -31 78 0
-3 -58 94 0
10 -82 -88 0
5 43 -55 0
-20 54 -84 0
13 -24 71 0
57 70 -78 0
-19 44 68 0
12 23 -77 0
11 36 -59 0
24 -45 78 0
3 29 -66 0
4 -62 0
29 -72 -74 0
25 57 -91 0
-78 89 93 0
-15 51 91 0
17 -31 -80 0
11 -22 -73 0
34 -79 91 0
55 59 -83 0
3 9 91 0
37 -63 89 0
-21 -22 -32 0
-13 20 -94 0
2 -4 63 0
-7 -34 -53 0
23 -62 92 0
-27 46 -72 0
-25 55 95 0
-11 31 87 0
33 47 -50 0
-7 -78 -93 0
61 -64 69 0
-6 68 70 0
-25 -39 50 0
18 46 66 0
3 -53 0
26 -53 93 0
-22 25 -94 0
43 71 0
-48 89 -95 0
12 -49 -70 0
16 -19 0
19 -40 52 0
47 60 94 0
-17 51 -70 0
5 -43 56 0
13 -29 43 0
6 19 -25 0
-32 63 -96 0
-30 81 91 0
-35 63 69 0
-46 88 -92 0
25 83 -91 0
13 -79 -80 0
-31 -56 -89 0
48 -88 89 0
-9 25 -94 0
1 21 -32 0
-2 53 0
-15 76 -91 0
-9 -35 70 0
-23 -31 71 0
-54 -61 -85 0
-22 -55 86 0
2 -10 60 0
12 -79 -83 0
14 25 60 0
1 -8 73 0
-38 -44 79 0
-42 -54 86 0
-71 -73 76 0
20 41 -71 0
5 32 -86 0
11 -67 96 0
-57 -67 84 0
2 7 -92 0
27 -69 0
25 53 76 0
13 37 -59 0
-11 48 -90 0
4 -27 -29 0
-8 10 -75 0
-19 -29 -35 0
16 -38 47 0
-56 -93 96 0
-36 -53 -81 0
11 -30 58 0
-31 38 -41 0
-3 19 26 0
8 -17 -91 0
-2 -39 50 0
59 61 95 0
13 20 -94 0
2 8 38 0
23 -42 87 0
19 -49 -53 0
-32 -52 -90 0
14 -83 0
3 -12 -88 0
84 -89 96 0
-22 65 -92 0
33 -69 89 0
-40 87 93 0
-11 -36 42 0
63 -76 -78 0
40 -47 -49 0
8 -45 -84 0
40 -68 92 0
35 -54 55 0
-4 29 34 0
-15 49 -68 0
12 33 0
29 79 -88 0
24 -51 -88 0
-9 -52 -90 0
36 63 -67 0
-3 36 95 0
-34 68 70 0
-36 63 -84 0
-59 82 -95 0
-21 68 -87 0
71 -73 0
39 57 -82 0
-43 -91 0
9 -31 -38 0
-6 33 45 0
-13 66 -85 0
27 30 62 0
-22 -33 69 0
34 -37 72 0
14 22 -61 0
-37 -41 49 0
18 -28 -59 0
51 83 91 0
3 8 40 0
-36 45 -58 0
28 64 -77 0
40 -77 -92 0
-17 23 -89 0
-21 42 -57 0
48 -50 75 0
-6 -39 -54 0
-34 58 -74 0
45 76 96 0
-1 -43 -77 0
-48 -56 -96 0
-30 49 73 0
1 80 -88 0
6 -8 32 0
-52 -70 -71 0
-42 -85 -88 0
8 -55 -73 0
8 48 71 0
25 30 53 0
-31 -46 60 0
21 40 60 0
-23 26 -59 0
44 -81 96 0
22 24 92 0
62 -77 -81 0
13 -91 -92 0
50 -88 0
-15 -24 -48 0
-4 44 89 0
14 40 -75 0
10 -25 -77 0
-18 77 0
16 53 63 0
-2 -86 0
11 -38 -88 0
-12 -57 -65 0
-43 -49 89 0
-40 67 81 0
-4 7 -10 0
-10 -19 27 0
-4 32 62 0
-25 -36 72 0
-39 58 -95 0
2 -7 -23 0
-36 48 92 0
-7 20 57 0
-25 -36 0
35 62 94 0
8 -25 -60 0
14 27 -49 0
7 10 63 0
-17 -51 56 0
4 75 -90 0
6 -85 -87 0
-11 12 -79 0
56 66 -96 0
-4 -37 -59 0
35 -37 64 0
13 -54 -68 0
60 74 88 0
-2 -7 90 0
62 -70 -86 0
29 -47 50 0
42 68 -79 0
-84 -85 -92 0
33 35 36 0
-45 -47 -55 0
12 55 0
55 -68 0
49 55 -67 0
18 51 -65 0
-29 56 -88 0
29 -45 -52 0
-3 -65 87 0
14 -87 -89 0
55 57 63 0
17 -18 -21 0
17 -44 -71 0
-14 -30 73 0
-29 -76 -85 0
-18 -59 92 0
49 56 -92 0
11 53 57 0
-35 -37 -93 0
61 74 80 0
-3 40 96 0
17 30 54 0
-20 42 89 0
-3 -86 0
1 -48 -90 0
6 8 -27 0
-50 65 -86 0
21 -30 32 0
7 -19 36 0
-25 64 -69 0
-5 43 -52 0
1 -64 65 0
-11 59 73 0
-15 36 79 0
29 -63 67 0
-1 5 24 0
-12 26 -62 0
-5 8 -41 0
-3 -54 -72 0
8 24 -68 0
10 46 -87 0
51 -62 -79 0
-4 36 -68 0
27 67 0
