p cnf 90 339
26 31 -33 0
4 -25 0
-4 33 36 0
-23 29 0
23 42 -46 0
-17 52 69 0
2 -49 54 0
23 -37 57 0
-24 -32 -34 0
4 -47 88 0
12 52 -85 0
-18 -46 -83 0
44 67 -75 0
72 89 90 0
19 -72 75 0
-20 36 0
-18 67 -74 0
-4 -12 -34 0
-3 17 -80 0
3 44 57 0
-26 -32 53 0
71 81 0
9 -21 28 0
-33 -43 69 0
-21 -73 79 0
2 17 -41 0
12 -70 0
12 67 -77 0
37 67 -72 0
-26 46 -74 0
-55 -60 0
44 46 -79 0
-26 40 45 0
37 -78 -80 0
12 -40 53 0
27 75 -84 0
-12 -26 -43 0
-29 -71 -78 0
8 -47 55 0
18 -19 -82 0
-29 41 67 0
18 68 0
-14 34 86 0
8 -48 0
-63 -65 82 0
-34 57 70 0
8 14 54 0
-17 29 -45 0
-1 -14 -27 0
35 54 -79 0
-11 -36 -68 0
4 -52 55 0
4 10 36 0
1 -63 86 0
-12 61 -86 0
-36 -39 88 0
47 -57 -84 0
-5 23 -29 0
26 -46 -69 0
-45 49 -60 0
4 -25 -54 0
13 21 75 0
13 -27 -81 0
10 -31 -36 0
-24 82 -84 0
-59 67 80 0
-48 67 81 0
-22 39 76 0
3 -25 85 0
-34 37 49 0
-38 43 56 0
-26 33 0
56 80 84 0
-31 55 59 0
-56 -64 -70 0
47 62 70 0
-8 -56 -58 0
-41 52 -57 0
49 73 79 0
31 -40 -86 0
-40 -50 59 0
37 76 -87 0
-2 -4 -10 0
-29 -36 -79 0
5 -18 90 0
5 11 0
16 28 36 0
-34 36 -42 0
6 -21 -48 0
18 -74 -88 0
-43 -65 -80 0
-4 -72 75 0
18 -32 -46 0
-82 -84 86 0
14 44 67 0
-36 -44 -62 0
-14 -61 -75 0
50 90 0
19 -49 -67 0
2 23 -27 0
5 -15 30 0
19 -72 -88 0
-4 -10 0
-67 -87 88 0
26 31 -64 0
-68 80 87 0
30 32 83 0
17 73 -77 0
-28 -37 80 0
-25 61 88 0
-36 -53 82 0
-13 -23 52 0
-28 -38 53 0
-22 48 -67 0
-29 -60 81 0
35 77 -85 0
19 43 45 0
-10 -42 49 0
-2 11 -76 0
9 14 -38 0
1 -5 -58 0
14 -19 40 0
14 -18 24 0
62 -72 82 0
-32 -38 -69 0
-27 33 63 0
-7 66 71 0
17 -34 61 0
-49 65 -80 0
-14 70 -75 0
-28 -44 -48 0
-45 -48 74 0
3 -68 90 0
34 -40 46 0
35 57 66 0
-27 52 -68 0
-3 -14 -85 0
-16 41 -54 0
-9 44 59 0
38 40 -60 0
-40 -51 -88 0
29 -68 82 0
25 -35 81 0
48 67 -68 0
17 -19 -54 0
-19 -24 88 0
9 -42 56 0
-45 -48 -84 0
-38 -54 66 0
-5 75 90 0
-21 71 86 0
40 -57 59 0
45 47 -50 0
-14 -16 26 0
10 27 -89 0
26 -30 89 0
-36 -60 77 0
5 44 -82 0
-21 -23 56 0
7 -73 77 0
-33 -75 -88 0
-18 -37 62 0
21 -33 82 0
14 -41 -47 0
52 -71 74 0
45 49 -71 0
33 51 -78 0
-4 -18 20 0
47 -64 -87 0
-2 15 -20 0
-4 -66 -70 0
-13 66 0
9 27 60 0
-31 56 -83 0
-19 73 -79 0
-9 65 87 0
3 -24 86 0
-21 30 36 0
13 -23 40 0
-45 64 -75 0
-8 22 -29 0
8 -29 72 0
-44 56 82 0
18 -50 57 0
54 -65 67 0
2 -62 -65 0
8 -53 0
-26 73 -75 0
-35 54 -60 0
-32 43 76 0
50 83 0
61 -66 -76 0
-36 -74 80 0
-44 75 0
6 86 0
49 -89 0
16 24 61 0
-17 -75 88 0
-59 -60 83 0
39 -63 70 0
18 25 44 0
-36 -53 -64 0
-23 -83 89 0
-6 48 50 0
-7 -22 27 0
25 45 -47 0
-19 -21 -39 0
4 -70 85 0
49 -58 -60 0
35 55 56 0
11 27 -39 0
-68 78 0
-13 35 -85 0
25 -35 -59 0
-5 -29 -69 0
7 17 57 0
-30 34 -60 0
16 -77 0
-3 -13 -42 0
-24 -26 -56 0
8 -37 86 0
5 34 65 0
-3 -7 -51 0
-27 51 -55 0
-50 -66 0
-13 36 65 0
33 -67 89 0
-12 -35 71 0
-15 33 -46 0
-19 20 32 0
-43 -46 85 0
44 60 61 0
49 74 88 0
-17 26 -70 0
47 -58 0
-51 55 -71 0
12 71 -79 0
28 38 75 0
-13 -43 -90 0
21 29 53 0
23 -40 49 0
-54 66 -72 0
1 -44 -72 0
-12 -28 -75 0
58 -65 74 0
5 -31 0
47 65 -77 0
9 48 85 0
-35 -68 -86 0
-12 -30 84 0
32 -54 57 0
36 -80 0
41 -55 62 0
3 90 0
31 61 -83 0
-22 -37 -42 0
12 21 -30 0
-6 -35 47 0
14 -76 0
3 -7 -77 0
-13 -27 -30 0
-19 -60 0
12 -56 -88 0
-4 52 -90 0
18 -82 -88 0
-12 22 -28 0
-42 44 -63 0
-15 40 -56 0
-28 -37 -41 0
-52 55 82 0
37 44 -56 0
-13 -52 0
32 -44 46 0
45 -83 0
34 61 90 0
-37 -59 -85 0
-13 41 -76 0
-41 74 -76 0
13 -15 32 0
27 -36 -83 0
35 49 87 0
-4 -73 -75 0
-27 -57 78 0
3 11 -58 0
50 78 0
-12 24 36 0
-1 -45 64 0
-45 -75 -79 0
47 51 90 0
-44 -71 -87 0
12 -55 87 0
16 -74 0
20 24 -59 0
-3 52 -56 0
32 -66 -70 0
-2 -54 -71 0
3 -28 54 0
-6 -48 88 0
-20 -31 78 0
37 -42 -82 0
25 -42 -54 0
-4 -29 -51 0
-7 34 -64 0
-6 42 -85 0
-22 61 67 0
7 -46 55 0
30 41 0
19 -37 57 0
-52 -58 0
7 -54 -57 0
-14 -74 79 0
-9 -14 40 0
-44 52 87 0
-8 53 -58 0
14 27 -71 0
22 69 -86 0
3 -89 0
34 -53 -65 0
46 -76 -83 0
7 41 77 0
18 -42 63 0
53 -61 79 0
-11 53 55 0
-19 21 -78 0
-12 76 -86 0
31 -39 -66 0
-6 -19 29 0
49 81 86 0
-55 -73 -80 0
19 -58 -74 0
-12 -70 84 0
64 -73 -81 0
-18 30 -54 0
12 -45 55 0
45 -50 -60 0
1 -4 23 0
-17 85 0
17 58 67 0
43 -62 0
